quote_id,partner_id,claim_id,vehicle_id,yard_id,quote_date,quoted_tow_price,quoted_daily_storage_rate,free_storage_days,expected_days_in_yard,expected_billable_storage_days,estimated_total_cost_to_partner,estimated_salvage_value,net_expected_recovery,competitor_estimated_total_cost,price_gap_vs_competitor,partner_price_sensitivity_score,yard_capacity_utilization,predicted_acceptance_probability,accepted_flag,lost_reason,expected_margin,recommended_tow_price,recommended_daily_storage_rate,pricing_strategy
QTE000012,P025,CLM003955,VEH003955,YARD_HOU_01,2025-03-02,329,22,0,22,22,813,6220,5407,776,37,88,0.88,0.46,1,accepted,319,303,20,acceptance_max
QTE000013,P013,CLM001261,VEH001261,YARD_HOU_01,2025-04-30,380,34,0,56,56,2284,8960,6676,2441,-157,47,0.91,0.81,1,accepted,1221,391,35,capacity_control
QTE000014,P040,CLM005175,VEH005175,YARD_HOU_01,2025-03-26,323,29,7,37,30,1193,6626,5433,1420,-227,48,0.78,0.74,1,accepted,560,333,30,acceptance_max
QTE000015,P010,CLM005245,VEH005245,YARD_OKC_01,2025-04-30,444,49,14,55,41,2453,24973,22520,2563,-110,25,1.12,0.97,1,accepted,1605,457,51,partner_retention
QTE000016,P002,CLM009586,VEH009586,YARD_OKC_01,2025-04-28,378,23,3,28,25,953,8729,7776,1063,-110,61,0.83,0.73,1,accepted,372,389,24,balanced
QTE000017,P013,CLM003433,VEH003433,YARD_DAL_01,2025-01-24,445,35,0,72,72,2965,8904,5939,3142,-177,47,0.57,0.81,1,accepted,1651,458,36,capacity_control
QTE000018,P013,CLM003343,VEH003343,YARD_AUS_01,2025-02-11,328,26,0,28,28,1056,3121,2065,1088,-32,47,0.71,0.77,1,accepted,599,338,27,partner_retention
QTE000019,P022,CLM009054,VEH009054,YARD_AUS_01,2025-02-08,372,33,14,88,74,2814,3922,1108,2398,416,42,0.85,0.62,1,accepted,1351,383,34,partner_retention
QTE000020,P030,CLM005978,VEH005978,YARD_OKC_01,2025-04-30,265,37,0,39,39,1708,16284,14576,1602,106,50,0.65,0.79,1,accepted,1202,273,38,margin_max
QTE000021,P014,CLM007574,VEH007574,YARD_HOU_01,2025-02-17,388,16,0,37,37,980,500,-480,827,153,65,0.94,0.59,1,accepted,175,400,17,balanced
QTE000022,P021,CLM009897,VEH009897,YARD_OKC_01,2025-06-15,277,22,7,60,53,1443,4411,2968,1267,176,71,0.37,0.56,0,price_too_high,645,255,20,balanced
QTE000023,P011,CLM004417,VEH004417,YARD_HOU_01,2025-07-08,349,31,7,61,54,2023,6539,4516,2150,-127,78,0.73,0.56,1,accepted,1056,321,28,acceptance_max
QTE000024,P003,CLM006704,VEH006704,YARD_HOU_01,2025-03-28,357,23,7,71,64,1829,3024,1195,1865,-36,67,0.85,0.58,0,price_too_high,753,368,24,balanced
QTE000025,P028,CLM007110,VEH007110,YARD_OKC_01,2025-01-16,503,34,0,27,27,1421,11165,9744,1748,-327,27,0.86,0.94,1,accepted,722,518,35,partner_retention
QTE000026,P008,CLM005089,VEH005089,YARD_OKC_01,2025-02-02,337,22,0,61,61,1679,500,-1179,1651,28,55,0.61,0.65,0,storage_fee_too_high,633,347,23,partner_retention
QTE000027,P030,CLM003407,VEH003407,YARD_AUS_01,2025-02-09,403,29,0,21,21,1012,4592,3580,830,182,50,0.70,0.68,1,accepted,484,415,30,balanced
QTE000028,P037,CLM005617,VEH005617,YARD_HOU_01,2025-06-04,305,21,3,44,41,1166,11287,10121,1177,-11,80,0.93,0.56,1,accepted,525,281,19,acceptance_max
QTE000029,P030,CLM003131,VEH003131,YARD_HOU_01,2025-06-26,384,36,0,36,36,1680,17326,15646,1832,-152,50,0.87,0.83,0,price_too_high,935,396,37,partner_retention
QTE000030,P011,CLM006528,VEH006528,YARD_OKC_01,2025-06-13,274,32,7,60,53,1970,9238,7268,1692,278,78,0.41,0.48,1,accepted,1109,252,29,balanced
QTE000031,P040,CLM005057,VEH005057,YARD_OKC_01,2025-02-20,368,31,7,45,38,1546,8932,7386,1054,492,48,0.72,0.58,0,price_too_high,756,379,32,balanced
QTE000032,P013,CLM000673,VEH000673,YARD_AUS_01,2025-04-26,400,25,0,15,15,775,13818,13043,835,-60,47,0.80,0.85,1,accepted,315,412,26,acceptance_max
QTE000033,P034,CLM007523,VEH007523,YARD_HOU_01,2025-01-15,304,20,5,50,45,1204,500,-704,1024,180,63,1.00,0.49,0,distance_too_far,433,313,21,balanced
QTE000034,P037,CLM007431,VEH007431,YARD_AUS_01,2025-05-26,368,21,3,43,40,1208,5159,3951,1136,72,80,0.89,0.49,1,accepted,431,339,19,balanced
QTE000035,P006,CLM008586,VEH008586,YARD_DAL_01,2025-02-17,405,30,5,90,85,2955,7792,4837,3184,-229,52,0.66,0.74,0,competitor_relationship,1548,417,31,acceptance_max
QTE000036,P014,CLM005406,VEH005406,YARD_HOU_01,2025-06-09,349,16,0,39,39,973,500,-473,730,243,65,0.90,0.56,1,accepted,190,359,17,acceptance_max
QTE000037,P008,CLM000145,VEH000145,YARD_HOU_01,2025-07-12,286,21,0,59,59,1525,500,-1025,1255,270,55,0.76,0.56,1,accepted,702,295,22,balanced
QTE000038,P015,CLM004974,VEH004974,YARD_HOU_01,2025-01-02,399,22,3,26,23,905,6167,5262,857,48,18,0.66,0.97,1,accepted,299,411,23,balanced
QTE000039,P014,CLM001997,VEH001997,YARD_AUS_01,2025-01-25,246,16,0,52,52,1078,500,-578,1155,-77,65,0.53,0.65,0,competitor_relationship,430,253,17,margin_max
QTE000040,P037,CLM006646,VEH006646,YARD_HOU_01,2025-01-11,415,24,3,48,45,1495,4992,3497,1587,-92,80,0.76,0.51,1,accepted,529,382,22,balanced
QTE000041,P014,CLM005285,VEH005285,YARD_DAL_01,2025-06-01,290,20,0,1,1,310,500,190,291,19,65,0.85,0.64,0,competitor_relationship,108,299,21,balanced
QTE000042,P035,CLM004056,VEH004056,YARD_DAL_01,2025-05-25,203,31,3,12,9,482,1992,1510,504,-22,70,0.96,0.54,1,accepted,254,209,32,balanced
QTE000043,P014,CLM002086,VEH002086,YARD_HOU_01,2025-04-16,298,19,0,50,50,1248,500,-748,1077,171,65,0.64,0.59,0,competitor_relationship,455,307,20,margin_max
QTE000044,P025,CLM007659,VEH007659,YARD_AUS_01,2025-01-02,270,22,0,6,6,402,2523,2121,373,29,88,0.76,0.44,1,accepted,163,248,20,partner_retention
QTE000045,P002,CLM008126,VEH008126,YARD_OKC_01,2025-06-04,256,30,3,33,30,1156,7661,6505,1259,-103,61,0.66,0.72,1,accepted,668,264,31,margin_max
QTE000046,P007,CLM006463,VEH006463,YARD_OKC_01,2025-04-18,263,23,3,45,42,1229,500,-729,1331,-102,44,0.63,0.78,1,accepted,590,271,24,margin_max
QTE000047,P037,CLM006907,VEH006907,YARD_HOU_01,2025-01-19,355,25,3,39,36,1255,8025,6770,1185,70,80,0.74,0.51,1,accepted,468,327,22,margin_max
QTE000048,P013,CLM003333,VEH003333,YARD_OKC_01,2025-07-03,479,35,0,70,70,2929,7647,4718,2576,353,47,1.09,0.62,1,accepted,1575,493,36,partner_retention
QTE000049,P037,CLM004906,VEH004906,YARD_OKC_01,2025-06-09,420,25,3,58,55,1795,2070,275,1748,47,80,0.98,0.45,1,accepted,686,386,22,partner_retention
QTE000050,P005,CLM005100,VEH005100,YARD_DAL_01,2025-02-02,360,30,3,13,10,660,18278,17618,589,71,32,0.83,0.97,1,accepted,318,371,31,margin_max
QTE000051,P003,CLM001546,VEH001546,YARD_HOU_01,2025-04-10,347,32,7,49,42,1691,7664,5973,1510,181,67,0.75,0.55,1,accepted,886,357,33,margin_max
QTE000052,P023,CLM004878,VEH004878,YARD_OKC_01,2025-04-05,243,28,7,25,18,747,500,-247,735,12,61,0.83,0.69,0,storage_fee_too_high,341,250,29,acceptance_max
QTE000053,P011,CLM009851,VEH009851,YARD_AUS_01,2025-01-26,236,32,7,36,29,1164,6844,5680,1050,114,78,0.61,0.52,1,accepted,654,217,29,margin_max
QTE000054,P004,CLM001946,VEH001946,YARD_OKC_01,2025-05-01,297,31,0,29,29,1196,4334,3138,1237,-41,69,0.78,0.65,1,accepted,720,306,32,capacity_control
QTE000055,P005,CLM000910,VEH000910,YARD_HOU_01,2024-12-31,490,34,3,48,45,2020,11542,9522,1963,57,32,0.51,0.94,1,accepted,1061,505,35,partner_retention
QTE000056,P004,CLM006086,VEH006086,YARD_DAL_01,2025-06-01,335,33,0,75,75,2810,10945,8135,2658,152,69,0.80,0.64,1,accepted,1708,345,34,partner_retention
QTE000057,P037,CLM009391,VEH009391,YARD_OKC_01,2024-12-30,343,24,3,20,17,751,3171,2420,852,-101,80,0.91,0.50,1,accepted,276,316,22,acceptance_max
QTE000058,P023,CLM002824,VEH002824,YARD_HOU_01,2025-02-26,251,30,7,41,34,1271,7118,5847,1316,-45,61,1.09,0.68,0,price_too_high,699,259,31,balanced
QTE000059,P040,CLM007904,VEH007904,YARD_AUS_01,2025-05-22,451,26,7,27,20,971,12989,12018,1045,-74,48,0.80,0.79,1,accepted,318,465,27,balanced
QTE000060,P014,CLM001942,VEH001942,YARD_OKC_01,2025-05-07,348,18,0,72,72,1644,500,-1144,1660,-16,65,0.71,0.65,1,accepted,472,358,19,margin_max
QTE000061,P014,CLM006902,VEH006902,YARD_AUS_01,2025-04-23,337,14,0,52,52,1065,500,-565,992,73,65,0.58,0.62,1,accepted,175,347,15,acceptance_max
QTE000062,P014,CLM006046,VEH006046,YARD_AUS_01,2025-03-03,319,15,0,39,39,904,500,-404,1066,-162,65,0.66,0.65,0,storage_fee_too_high,144,329,16,capacity_control
QTE000063,P013,CLM001098,VEH001098,YARD_OKC_01,2025-02-25,280,32,0,59,59,2168,5557,3389,1294,874,47,1.05,0.43,0,price_too_high,1393,288,33,margin_max
QTE000064,P040,CLM008721,VEH008721,YARD_HOU_01,2025-07-10,278,26,7,39,32,1110,10923,9813,1178,-68,48,0.96,0.76,1,accepted,582,286,27,partner_retention
QTE000065,P030,CLM009571,VEH009571,YARD_HOU_01,2025-07-25,427,26,0,53,53,1805,11290,9485,1855,-50,50,0.74,0.79,1,accepted,711,440,27,capacity_control
QTE000066,P039,CLM007908,VEH007908,YARD_AUS_01,2025-05-21,272,21,0,48,48,1280,500,-780,1368,-88,77,0.77,0.52,1,accepted,644,250,19,acceptance_max
QTE000067,P039,CLM005703,VEH005703,YARD_DAL_01,2025-01-22,322,20,0,64,64,1602,500,-1102,1069,533,77,0.85,0.33,0,price_too_high,611,296,18,capacity_control
QTE000068,P028,CLM005181,VEH005181,YARD_AUS_01,2025-03-11,463,28,0,54,54,1975,9026,7051,1970,5,27,0.74,0.93,1,accepted,1012,477,29,acceptance_max
QTE000069,P029,CLM009438,VEH009438,YARD_AUS_01,2025-05-24,310,29,3,33,30,1180,1935,755,1015,165,36,0.79,0.76,1,accepted,673,319,30,partner_retention
QTE000070,P015,CLM003980,VEH003980,YARD_HOU_01,2025-02-03,307,24,3,40,37,1195,4848,3653,1067,128,18,1.01,0.90,1,accepted,586,316,25,balanced
QTE000071,P028,CLM000026,VEH000026,YARD_HOU_01,2025-02-28,412,33,0,49,49,2029,19551,17522,1960,69,27,1.01,0.95,1,accepted,1079,424,34,margin_max
QTE000072,P003,CLM009122,VEH009122,YARD_OKC_01,2025-05-23,267,24,7,23,16,651,1445,794,518,133,67,0.86,0.52,0,competitor_relationship,241,275,25,acceptance_max
QTE000073,P003,CLM005825,VEH005825,YARD_OKC_01,2025-01-25,365,23,7,40,33,1124,1743,619,1198,-74,67,0.70,0.57,1,accepted,313,376,24,partner_retention
QTE000074,P026,CLM001624,VEH001624,YARD_DAL_01,2025-07-14,261,24,0,40,40,1221,7360,6139,1286,-65,96,1.15,0.36,1,accepted,662,240,22,capacity_control
QTE000075,P037,CLM005851,VEH005851,YARD_HOU_01,2025-02-17,251,22,3,38,35,1021,3662,2641,1080,-59,80,0.80,0.50,1,accepted,539,231,20,acceptance_max
QTE000076,P002,CLM008049,VEH008049,YARD_DAL_01,2025-06-12,426,29,3,58,55,2021,500,-1521,1553,468,61,0.68,0.50,1,accepted,967,439,30,balanced
QTE000077,P005,CLM005557,VEH005557,YARD_DAL_01,2025-02-06,418,38,3,31,28,1482,12674,11192,1351,131,32,0.96,0.91,1,accepted,813,431,40,partner_retention
QTE000078,P037,CLM003684,VEH003684,YARD_AUS_01,2025-05-27,350,24,3,19,16,734,4639,3905,654,80,80,0.79,0.48,0,price_too_high,272,322,22,acceptance_max
QTE000079,P014,CLM001944,VEH001944,YARD_AUS_01,2025-02-22,216,17,0,18,18,522,500,-22,583,-61,65,0.50,0.65,1,accepted,205,222,18,balanced
QTE000080,P039,CLM009425,VEH009425,YARD_AUS_01,2025-05-29,289,22,0,41,41,1191,1536,345,1127,64,77,0.89,0.50,1,accepted,529,266,20,balanced
QTE000081,P005,CLM002838,VEH002838,YARD_DAL_01,2025-04-13,410,36,3,77,74,3074,21298,18224,2891,183,32,0.87,0.97,1,accepted,2059,422,37,acceptance_max
QTE000082,P010,CLM001881,VEH001881,YARD_HOU_01,2025-06-14,579,34,14,58,44,2075,28937,26862,2195,-120,25,0.92,0.97,1,accepted,813,596,35,margin_max
QTE000083,P015,CLM007084,VEH007084,YARD_OKC_01,2025-01-04,440,27,3,68,65,2195,7984,5789,1922,273,18,0.75,0.90,1,accepted,1038,453,28,partner_retention
QTE000084,P007,CLM001533,VEH001533,YARD_HOU_01,2025-04-10,296,20,3,53,50,1296,500,-796,1196,100,44,0.74,0.74,1,accepted,473,305,21,margin_max
QTE000085,P014,CLM001268,VEH001268,YARD_OKC_01,2025-01-17,303,16,0,28,28,751,500,-251,633,118,65,0.85,0.61,1,accepted,243,312,17,margin_max
QTE000086,P003,CLM007209,VEH007209,YARD_DAL_01,2025-05-28,342,31,7,30,23,1055,13754,12699,889,166,67,0.88,0.59,1,accepted,447,352,32,balanced
QTE000087,P013,CLM007162,VEH007162,YARD_DAL_01,2025-07-01,247,24,0,25,25,847,8398,7551,690,157,47,0.82,0.75,0,price_too_high,444,254,25,balanced
QTE000088,P020,CLM003951,VEH003951,YARD_AUS_01,2025-04-20,359,36,0,59,59,2483,18232,15749,1770,713,34,0.71,0.70,1,accepted,1656,370,37,margin_max
QTE000089,P037,CLM009164,VEH009164,YARD_HOU_01,2025-03-04,406,23,3,60,57,1717,500,-1217,1974,-257,80,0.76,0.48,0,price_too_high,529,374,21,balanced
QTE000090,P037,CLM004419,VEH004419,YARD_OKC_01,2025-05-05,384,20,3,53,50,1384,4500,3116,1347,37,80,1.02,0.46,1,accepted,468,353,18,margin_max
QTE000091,P039,CLM009331,VEH009331,YARD_DAL_01,2025-01-25,253,20,0,63,63,1513,500,-1013,1598,-85,77,0.74,0.52,1,accepted,700,233,18,margin_max
QTE000092,P031,CLM008995,VEH008995,YARD_AUS_01,2025-07-03,364,35,14,4,0,364,9729,9365,273,91,51,0.99,0.71,0,price_too_high,73,375,36,capacity_control
QTE000093,P004,CLM000493,VEH000493,YARD_OKC_01,2025-05-19,284,28,0,109,109,3336,500,-2836,3096,240,69,0.83,0.53,0,price_too_high,2013,293,29,margin_max
QTE000094,P026,CLM000583,VEH000583,YARD_OKC_01,2025-03-11,291,20,0,19,19,671,1372,701,560,111,96,0.98,0.33,0,price_too_high,284,268,18,partner_retention
QTE000095,P023,CLM005414,VEH005414,YARD_DAL_01,2025-03-06,242,30,7,68,61,2072,8733,6661,2302,-230,61,0.81,0.75,1,accepted,1306,249,31,balanced
QTE000096,P024,CLM009471,VEH009471,YARD_OKC_01,2025-06-30,289,26,0,54,54,1693,500,-1193,1693,0,22,0.74,0.93,1,accepted,913,298,27,partner_retention
QTE000097,P001,CLM002440,VEH002440,YARD_DAL_01,2025-05-14,291,29,0,40,40,1451,9954,8503,1244,207,73,0.85,0.57,1,accepted,872,268,26,acceptance_max
QTE000098,P028,CLM004626,VEH004626,YARD_HOU_01,2025-02-16,430,34,0,57,57,2368,11746,9378,2527,-159,27,0.76,0.95,1,accepted,1462,443,35,partner_retention
QTE000099,P025,CLM001457,VEH001457,YARD_HOU_01,2025-06-15,221,19,0,1,1,240,1478,1238,183,57,88,1.09,0.36,1,accepted,86,203,17,balanced
QTE000100,P035,CLM005422,VEH005422,YARD_HOU_01,2025-02-26,289,27,3,64,61,1936,500,-1436,1739,197,70,1.08,0.42,0,competitor_relationship,1137,298,28,balanced
QTE000101,P029,CLM003739,VEH003739,YARD_DAL_01,2025-04-29,389,28,3,71,68,2293,5169,2876,2303,-10,36,0.82,0.85,1,accepted,1078,401,29,partner_retention
QTE000102,P005,CLM005947,VEH005947,YARD_HOU_01,2025-04-24,343,35,3,17,14,833,24327,23494,930,-97,32,0.96,0.97,1,accepted,451,353,36,margin_max
QTE000103,P037,CLM001146,VEH001146,YARD_OKC_01,2025-02-06,300,23,3,27,24,852,8892,8040,881,-29,80,0.83,0.54,1,accepted,337,276,21,balanced
QTE000104,P026,CLM006421,VEH006421,YARD_HOU_01,2025-06-28,206,19,0,26,26,700,1628,928,778,-78,96,0.74,0.40,0,price_too_high,358,190,17,acceptance_max
QTE000105,P024,CLM004693,VEH004693,YARD_OKC_01,2025-01-24,372,26,0,51,51,1698,500,-1198,1832,-134,22,0.96,0.92,1,accepted,947,383,27,acceptance_max
QTE000106,P014,CLM004991,VEH004991,YARD_OKC_01,2025-02-11,261,17,0,58,58,1247,500,-747,1102,145,65,0.74,0.60,1,accepted,393,269,18,acceptance_max
QTE000107,P028,CLM009637,VEH009637,YARD_DAL_01,2025-01-05,410,37,0,72,72,3074,11100,8026,3567,-493,27,0.91,0.94,1,accepted,1957,422,38,partner_retention
QTE000108,P037,CLM000003,VEH000003,YARD_OKC_01,2025-05-10,267,24,3,44,41,1251,7761,6510,1410,-159,80,0.75,0.53,1,accepted,613,246,22,margin_max
QTE000109,P028,CLM007782,VEH007782,YARD_AUS_01,2025-01-10,428,36,0,39,39,1832,23368,21536,1874,-42,27,0.96,0.97,1,accepted,1052,441,37,acceptance_max
QTE000110,P003,CLM009412,VEH009412,YARD_HOU_01,2025-07-11,394,24,7,52,45,1474,500,-974,1514,-40,67,0.99,0.53,0,unknown,573,406,25,acceptance_max
QTE000111,P011,CLM005158,VEH005158,YARD_AUS_01,2025-04-22,342,25,7,31,24,942,3097,2155,1077,-135,78,0.96,0.52,0,storage_fee_too_high,311,315,22,capacity_control
QTE000112,P004,CLM002460,VEH002460,YARD_DAL_01,2025-07-22,377,30,0,60,60,2177,14793,12616,2308,-131,69,0.83,0.72,0,storage_fee_too_high,1103,388,31,margin_max
QTE000113,P015,CLM007500,VEH007500,YARD_OKC_01,2025-01-14,277,21,3,44,41,1138,959,-179,1036,102,18,0.84,0.92,1,accepted,490,285,22,balanced
QTE000114,P008,CLM008661,VEH008661,YARD_DAL_01,2025-05-18,214,23,0,23,23,743,834,91,743,0,55,1.00,0.63,0,competitor_relationship,401,220,24,margin_max
QTE000115,P014,CLM007511,VEH007511,YARD_DAL_01,2025-02-03,293,18,0,51,51,1211,500,-711,1123,88,65,0.60,0.62,0,price_too_high,423,302,19,acceptance_max
QTE000116,P038,CLM004284,VEH004284,YARD_AUS_01,2025-01-13,276,21,5,49,44,1200,4867,3667,1391,-191,73,0.67,0.55,1,accepted,467,254,19,margin_max
QTE000117,P005,CLM006006,VEH006006,YARD_OKC_01,2025-04-04,341,37,3,42,39,1784,17226,15442,1556,228,32,0.79,0.92,0,storage_fee_too_high,1086,351,38,partner_retention
QTE000118,P035,CLM006486,VEH006486,YARD_OKC_01,2025-01-02,347,31,3,49,46,1773,3779,2006,1593,180,70,0.77,0.51,1,accepted,993,357,32,margin_max
QTE000119,P007,CLM001455,VEH001455,YARD_OKC_01,2025-01-12,313,21,3,52,49,1342,608,-734,1628,-286,44,0.87,0.78,1,accepted,468,322,22,acceptance_max
QTE000120,P010,CLM001441,VEH001441,YARD_AUS_01,2025-04-02,461,36,14,13,0,461,18692,18231,382,79,25,0.93,0.97,1,accepted,-12,475,37,partner_retention
QTE000121,P035,CLM001553,VEH001553,YARD_OKC_01,2025-02-06,279,30,3,1,0,279,8055,7776,231,48,70,0.95,0.57,1,accepted,84,287,31,balanced
QTE000122,P013,CLM003900,VEH003900,YARD_HOU_01,2025-01-09,352,25,0,53,53,1677,2780,1103,1569,108,47,0.72,0.73,1,accepted,751,363,26,margin_max
QTE000123,P021,CLM000117,VEH000117,YARD_DAL_01,2025-03-03,305,31,7,29,22,987,15500,14513,988,-1,71,0.82,0.71,1,accepted,481,281,28,partner_retention
QTE000124,P020,CLM003066,VEH003066,YARD_HOU_01,2025-06-22,422,47,0,48,48,2678,10590,7912,2777,-99,34,0.72,0.90,1,accepted,1911,435,49,margin_max
QTE000125,P019,CLM002686,VEH002686,YARD_HOU_01,2025-06-05,260,21,7,1,0,260,3081,2821,346,-86,78,0.70,0.54,1,accepted,79,239,19,balanced
QTE000126,P015,CLM000390,VEH000390,YARD_DAL_01,2025-02-27,308,29,3,20,17,801,3769,2968,738,63,18,0.86,0.95,1,accepted,413,317,30,margin_max
QTE000127,P024,CLM008484,VEH008484,YARD_HOU_01,2025-01-31,303,33,0,50,50,1953,850,-1103,1549,404,22,0.61,0.79,1,accepted,1253,312,34,balanced
QTE000128,P005,CLM005506,VEH005506,YARD_HOU_01,2025-03-14,321,32,3,39,36,1473,5495,4022,1448,25,32,0.65,0.91,1,accepted,858,331,33,partner_retention
QTE000129,P030,CLM003190,VEH003190,YARD_AUS_01,2025-04-17,439,33,0,36,36,1627,3572,1945,1608,19,50,0.84,0.73,1,accepted,869,452,34,acceptance_max
QTE000130,P022,CLM002738,VEH002738,YARD_OKC_01,2025-03-01,299,27,14,59,45,1514,12707,11193,1415,99,42,1.14,0.72,1,accepted,727,308,28,partner_retention
QTE000131,P020,CLM009220,VEH009220,YARD_OKC_01,2025-03-16,570,40,0,76,76,3610,8653,5043,3365,245,34,0.86,0.80,1,accepted,2068,587,42,balanced
QTE000132,P019,CLM000545,VEH000545,YARD_AUS_01,2025-06-19,296,21,7,61,54,1430,4020,2590,1332,98,78,0.99,0.49,1,accepted,589,272,19,balanced
QTE000133,P028,CLM002016,VEH002016,YARD_DAL_01,2025-05-15,389,35,0,41,41,1824,2733,909,1819,5,27,1.04,0.84,1,accepted,1109,401,36,acceptance_max
QTE000134,P028,CLM003500,VEH003500,YARD_OKC_01,2025-04-30,416,41,0,64,64,3040,11681,8641,3641,-601,27,0.66,0.95,1,accepted,2029,428,43,balanced
QTE000135,P039,CLM003604,VEH003604,YARD_HOU_01,2025-05-22,238,18,0,57,57,1264,2452,1188,1136,128,77,0.80,0.49,0,storage_fee_too_high,504,219,16,capacity_control
QTE000136,P037,CLM007314,VEH007314,YARD_AUS_01,2025-06-21,337,25,3,80,77,2262,3527,1265,2692,-430,80,0.77,0.50,1,accepted,946,310,22,balanced
QTE000137,P005,CLM001392,VEH001392,YARD_OKC_01,2025-03-16,467,36,3,70,67,2879,1161,-1718,2668,211,32,0.56,0.82,1,accepted,1562,481,37,acceptance_max
QTE000138,P037,CLM002669,VEH002669,YARD_AUS_01,2024-12-31,415,27,3,61,58,1981,6863,4882,2038,-57,80,0.96,0.51,0,price_too_high,853,382,24,balanced
QTE000139,P003,CLM006798,VEH006798,YARD_HOU_01,2025-05-19,396,31,7,54,47,1853,2482,629,1551,302,67,0.98,0.44,0,storage_fee_too_high,926,408,32,acceptance_max
QTE000140,P013,CLM001141,VEH001141,YARD_OKC_01,2025-05-17,338,24,0,28,28,1010,4513,3503,1178,-168,47,0.89,0.78,1,accepted,530,348,25,balanced
QTE000141,P028,CLM005937,VEH005937,YARD_HOU_01,2025-02-09,427,34,0,47,47,2025,10051,8026,2058,-33,27,0.93,0.93,1,accepted,1105,440,35,acceptance_max
QTE000142,P035,CLM004723,VEH004723,YARD_HOU_01,2025-06-08,401,30,3,51,48,1841,500,-1341,1760,81,70,0.75,0.52,0,unknown,943,413,31,balanced
QTE000143,P035,CLM006951,VEH006951,YARD_HOU_01,2025-02-23,310,26,3,9,6,466,4185,3719,511,-45,70,1.11,0.51,1,accepted,164,319,27,margin_max
QTE000144,P006,CLM006249,VEH006249,YARD_OKC_01,2025-05-12,513,31,5,83,78,2931,7015,4084,3572,-641,52,0.75,0.73,1,accepted,1320,528,32,acceptance_max
QTE000145,P015,CLM008702,VEH008702,YARD_HOU_01,2025-02-26,454,23,3,71,68,2018,4341,2323,2151,-133,18,0.96,0.96,1,accepted,630,468,24,acceptance_max
QTE000146,P013,CLM008719,VEH008719,YARD_AUS_01,2025-04-27,342,27,0,44,44,1530,7482,5952,1409,121,47,0.67,0.76,0,distance_too_far,831,352,28,balanced
QTE000147,P015,CLM005265,VEH005265,YARD_HOU_01,2025-06-30,447,31,3,27,24,1191,4593,3402,962,229,18,0.94,0.89,1,accepted,482,460,32,acceptance_max
QTE000148,P015,CLM001780,VEH001780,YARD_DAL_01,2025-03-12,264,29,3,42,39,1395,1323,-72,1346,49,18,0.94,0.93,0,price_too_high,811,272,30,margin_max
QTE000149,P006,CLM008794,VEH008794,YARD_OKC_01,2025-02-26,390,27,5,96,91,2847,500,-2347,2696,151,52,0.86,0.63,1,accepted,1462,402,28,balanced
QTE000150,P023,CLM006414,VEH006414,YARD_OKC_01,2025-05-18,361,28,7,47,40,1481,6767,5286,1317,164,61,0.95,0.67,1,accepted,596,372,29,partner_retention
