tow_event_id,claim_id,vehicle_id,partner_id,origin_zip,origin_city,origin_state,yard_id,tow_distance_miles,tow_request_time,tow_completed_time,tow_duration_hours,tow_type,base_tow_cost,fuel_surcharge,labor_cost,third_party_tow_cost,internal_total_tow_cost,quoted_tow_price,accepted_flag,competitor_estimated_price,gross_tow_margin,outsourced_flag
TOW000015,CLM005487,VEH005487,P035,78701,Austin,TX,YARD_DAL_01,24.1,2025-01-17 22:00:00,2025-01-18 00:34:35,2.6,long_distance,150,23,78,0,252,314,0,209,62,0
TOW000016,CLM004934,VEH004934,P039,77520,Baytown,TX,YARD_OKC_01,14.8,2025-02-06 07:00:00,2025-02-06 09:00:14,2.0,standard,121,9,62,0,191,272,0,224,81,0
TOW000017,CLM004616,VEH004616,P031,77520,Baytown,TX,YARD_HOU_01,41.3,2025-07-28 08:00:00,2025-07-28 16:11:21,8.2,standard,203,25,109,0,337,479,1,435,142,0
TOW000018,CLM003299,VEH003299,P003,78664,Round Rock,TX,YARD_AUS_01,17.2,2025-07-20 22:00:00,2025-07-21 01:01:50,3.0,standard,128,12,66,0,206,312,1,385,106,0
TOW000019,CLM004105,VEH004105,P005,78701,Austin,TX,YARD_OKC_01,3.6,2025-06-07 16:00:00,2025-06-07 22:25:19,6.4,long_distance,86,3,41,0,131,170,1,192,39,0
TOW000020,CLM007493,VEH007493,P028,75024,Plano,TX,YARD_AUS_01,9.6,2025-06-02 10:00:00,2025-06-02 16:57:07,7.0,priority,105,7,52,0,164,237,1,228,73,0
TOW000021,CLM004326,VEH004326,P035,77520,Baytown,TX,YARD_DAL_01,47.5,2025-03-28 12:00:00,2025-03-28 21:05:23,9.1,after_hours,222,43,120,550,550,835,0,868,285,1
TOW000022,CLM002158,VEH002158,P040,78664,Round Rock,TX,YARD_HOU_01,63.9,2025-04-26 21:00:00,2025-04-27 08:03:53,11.1,standard,273,71,150,0,494,628,1,792,134,0
TOW000023,CLM002525,VEH002525,P015,77520,Baytown,TX,YARD_HOU_01,20.0,2025-04-11 08:00:00,2025-04-11 14:56:56,6.9,standard,137,16,71,424,424,527,1,488,103,1
TOW000024,CLM002658,VEH002658,P014,73102,Oklahoma City,OK,YARD_OKC_01,29.3,2025-04-12 07:00:00,2025-04-12 16:22:45,9.4,long_distance,166,35,88,0,288,377,1,365,89,0
TOW000025,CLM004208,VEH004208,P037,78664,Round Rock,TX,YARD_DAL_01,14.8,2025-02-12 11:00:00,2025-02-12 16:15:07,5.3,after_hours,121,17,62,0,200,250,1,259,50,0
TOW000026,CLM006213,VEH006213,P023,73102,Oklahoma City,OK,YARD_DAL_01,33.5,2025-03-03 09:00:00,2025-03-03 12:17:19,3.3,after_hours,179,35,95,0,309,438,1,433,129,0
TOW000027,CLM000078,VEH000078,P023,76010,Arlington,TX,YARD_HOU_01,20.1,2025-01-07 20:00:00,2025-01-08 02:26:44,6.4,after_hours,137,20,71,0,229,286,0,221,57,0
TOW000028,CLM005325,VEH005325,P004,77520,Baytown,TX,YARD_HOU_01,21.9,2025-05-27 19:00:00,2025-05-27 23:40:56,4.7,after_hours,143,15,74,0,232,338,0,330,106,0
TOW000029,CLM001516,VEH001516,P035,77002,Houston,TX,YARD_AUS_01,21.9,2025-01-12 16:00:00,2025-01-13 00:07:38,8.1,standard,143,23,74,0,240,284,0,260,44,0
TOW000030,CLM001159,VEH001159,P037,77002,Houston,TX,YARD_OKC_01,15.5,2025-03-23 07:00:00,2025-03-23 14:46:07,7.8,standard,123,18,63,355,355,471,0,394,116,1
TOW000031,CLM007310,VEH007310,P006,77520,Baytown,TX,YARD_AUS_01,5.6,2025-06-15 15:00:00,2025-06-15 22:03:22,7.1,priority,92,5,45,0,143,216,0,179,73,0
TOW000032,CLM006617,VEH006617,P024,78664,Round Rock,TX,YARD_OKC_01,77.4,2025-03-15 08:00:00,2025-03-15 19:20:55,11.3,standard,315,76,174,729,729,895,1,953,166,1
TOW000033,CLM006178,VEH006178,P026,75201,Dallas,TX,YARD_DAL_01,51.3,2025-04-26 13:00:00,2025-04-26 22:01:15,9.0,priority,234,60,127,0,421,495,0,376,74,0
TOW000034,CLM005909,VEH005909,P028,75201,Dallas,TX,YARD_HOU_01,43.7,2025-01-07 07:00:00,2025-01-07 10:50:45,3.8,long_distance,210,48,114,0,372,417,0,428,45,0
TOW000035,CLM000591,VEH000591,P004,75024,Plano,TX,YARD_OKC_01,38.6,2025-04-25 20:00:00,2025-04-26 03:36:32,7.6,standard,195,40,104,0,339,449,1,521,110,0
TOW000036,CLM009602,VEH009602,P035,75024,Plano,TX,YARD_DAL_01,6.2,2025-04-17 11:00:00,2025-04-17 13:01:59,2.0,standard,94,7,46,0,147,200,1,212,53,0
TOW000037,CLM005240,VEH005240,P011,77520,Baytown,TX,YARD_HOU_01,6.0,2025-06-03 07:00:00,2025-06-03 14:48:13,7.8,standard,94,4,46,0,143,207,0,195,64,0
TOW000038,CLM003064,VEH003064,P030,73102,Oklahoma City,OK,YARD_DAL_01,40.8,2025-02-09 17:00:00,2025-02-09 22:55:31,5.9,long_distance,201,39,108,0,349,481,0,521,132,0
TOW000039,CLM007055,VEH007055,P007,78664,Round Rock,TX,YARD_OKC_01,13.2,2025-05-16 21:00:00,2025-05-17 02:57:46,6.0,standard,116,9,59,0,184,249,1,304,65,0
TOW000040,CLM001588,VEH001588,P040,75024,Plano,TX,YARD_AUS_01,36.4,2025-07-08 12:00:00,2025-07-08 18:38:51,6.6,standard,188,35,101,0,324,421,1,474,97,0
TOW000041,CLM009071,VEH009071,P005,75149,Mesquite,TX,YARD_OKC_01,35.8,2025-01-15 16:00:00,2025-01-15 22:47:27,6.8,long_distance,186,27,99,0,313,357,1,393,44,0
TOW000042,CLM000576,VEH000576,P003,77002,Houston,TX,YARD_AUS_01,27.8,2025-01-31 09:00:00,2025-01-31 12:19:18,3.3,standard,161,26,85,0,272,406,1,390,134,0
TOW000043,CLM005099,VEH005099,P035,78701,Austin,TX,YARD_DAL_01,78.7,2025-04-14 12:00:00,2025-04-14 20:19:41,8.3,priority,319,82,177,777,777,999,1,965,222,1
TOW000044,CLM001547,VEH001547,P023,76010,Arlington,TX,YARD_DAL_01,21.3,2025-03-24 22:00:00,2025-03-25 04:50:39,6.8,standard,141,18,73,321,321,364,0,427,43,1
TOW000045,CLM006168,VEH006168,P039,75149,Mesquite,TX,YARD_OKC_01,6.2,2025-01-21 13:00:00,2025-01-21 14:55:12,1.9,standard,94,4,46,0,144,201,1,171,57,0
TOW000046,CLM002265,VEH002265,P005,75024,Plano,TX,YARD_HOU_01,10.0,2025-06-08 08:00:00,2025-06-08 09:36:58,1.6,priority,106,10,53,0,169,229,0,238,60,0
TOW000047,CLM007456,VEH007456,P003,75149,Mesquite,TX,YARD_OKC_01,14.9,2025-06-15 11:00:00,2025-06-15 14:58:30,4.0,long_distance,121,13,62,0,196,296,1,346,100,0
TOW000048,CLM001458,VEH001458,P014,76010,Arlington,TX,YARD_OKC_01,8.5,2025-05-11 22:00:00,2025-05-12 01:41:57,3.7,standard,101,10,50,0,162,197,1,181,35,0
TOW000049,CLM001894,VEH001894,P031,73102,Oklahoma City,OK,YARD_HOU_01,18.1,2025-02-23 19:00:00,2025-02-24 01:23:49,6.4,standard,131,12,68,0,211,285,0,311,74,0
TOW000050,CLM005739,VEH005739,P003,77520,Baytown,TX,YARD_OKC_01,13.3,2025-04-09 16:00:00,2025-04-09 20:59:13,5.0,long_distance,116,8,59,0,183,213,0,244,30,0
TOW000051,CLM002293,VEH002293,P010,77520,Baytown,TX,YARD_DAL_01,8.9,2025-07-27 14:00:00,2025-07-27 21:16:53,7.3,standard,103,7,51,0,160,236,1,254,76,0
TOW000052,CLM009886,VEH009886,P031,76010,Arlington,TX,YARD_AUS_01,65.4,2025-06-08 06:00:00,2025-06-08 15:15:09,9.3,standard,278,70,153,0,500,599,1,581,99,0
TOW000053,CLM007625,VEH007625,P019,75024,Plano,TX,YARD_OKC_01,9.5,2025-03-25 17:00:00,2025-03-25 23:46:12,6.8,after_hours,104,9,52,0,166,246,0,215,80,0
TOW000054,CLM000054,VEH000054,P035,78701,Austin,TX,YARD_DAL_01,15.6,2025-06-10 15:00:00,2025-06-10 19:14:15,4.2,standard,123,9,63,0,196,259,1,266,63,0
TOW000055,CLM009410,VEH009410,P028,75149,Mesquite,TX,YARD_OKC_01,46.3,2025-07-20 12:00:00,2025-07-20 19:59:53,8.0,after_hours,219,27,118,0,364,429,1,462,65,0
TOW000056,CLM004965,VEH004965,P028,77520,Baytown,TX,YARD_OKC_01,9.6,2025-05-09 08:00:00,2025-05-09 10:48:59,2.8,standard,105,9,52,0,166,207,1,211,41,0
TOW000057,CLM000322,VEH000322,P026,75024,Plano,TX,YARD_HOU_01,9.9,2025-06-07 21:00:00,2025-06-08 02:59:55,6.0,priority,106,12,53,0,170,209,0,221,39,0
TOW000058,CLM004768,VEH004768,P019,75201,Dallas,TX,YARD_HOU_01,11.6,2025-05-31 07:00:00,2025-05-31 14:30:11,7.5,standard,111,9,56,0,176,233,1,267,57,0
TOW000059,CLM004761,VEH004761,P028,77002,Houston,TX,YARD_HOU_01,44.5,2025-05-11 10:00:00,2025-05-11 19:41:15,9.7,after_hours,213,48,115,0,376,575,1,475,199,0
TOW000060,CLM002693,VEH002693,P019,78701,Austin,TX,YARD_HOU_01,15.8,2025-01-27 20:00:00,2025-01-27 23:34:43,3.6,standard,124,9,63,0,196,241,1,287,45,0
TOW000061,CLM003096,VEH003096,P023,77002,Houston,TX,YARD_DAL_01,21.7,2025-06-02 22:00:00,2025-06-03 03:08:12,5.1,long_distance,142,21,74,0,238,273,0,273,35,0
TOW000062,CLM009749,VEH009749,P019,73102,Oklahoma City,OK,YARD_HOU_01,6.2,2025-02-09 07:00:00,2025-02-09 09:39:02,2.7,standard,94,6,46,0,147,182,1,222,35,0
TOW000063,CLM006458,VEH006458,P013,78701,Austin,TX,YARD_AUS_01,30.9,2025-07-29 06:00:00,2025-07-29 12:17:54,6.3,standard,171,33,91,0,294,333,0,334,39,0
TOW000064,CLM003636,VEH003636,P013,75149,Mesquite,TX,YARD_DAL_01,7.6,2025-04-06 22:00:00,2025-04-07 06:05:08,8.1,long_distance,99,6,49,368,368,466,0,472,98,1
TOW000065,CLM000104,VEH000104,P040,76010,Arlington,TX,YARD_OKC_01,50.6,2025-07-12 11:00:00,2025-07-12 18:09:43,7.2,priority,232,59,126,541,541,750,0,706,209,1
TOW000066,CLM009654,VEH009654,P040,75024,Plano,TX,YARD_OKC_01,9.1,2025-04-29 19:00:00,2025-04-29 20:58:10,2.0,long_distance,103,7,51,0,162,237,0,213,75,0
TOW000067,CLM002997,VEH002997,P039,73102,Oklahoma City,OK,YARD_HOU_01,25.5,2025-05-04 15:00:00,2025-05-04 17:52:07,2.9,long_distance,154,16,81,0,251,380,0,457,129,0
TOW000068,CLM007721,VEH007721,P024,73102,Oklahoma City,OK,YARD_AUS_01,24.5,2025-02-20 22:00:00,2025-02-21 07:10:54,9.2,standard,151,26,79,0,256,296,1,319,40,0
TOW000069,CLM003541,VEH003541,P037,75149,Mesquite,TX,YARD_AUS_01,13.3,2025-04-30 07:00:00,2025-04-30 10:01:33,3.0,long_distance,116,15,59,0,191,285,1,273,94,0
TOW000070,CLM009054,VEH009054,P022,78701,Austin,TX,YARD_AUS_01,48.1,2025-02-10 19:00:00,2025-02-11 03:11:19,8.2,long_distance,224,50,122,629,629,897,1,701,268,1
TOW000071,CLM005068,VEH005068,P031,73102,Oklahoma City,OK,YARD_AUS_01,36.4,2025-07-05 14:00:00,2025-07-05 22:02:12,8.0,standard,188,24,101,0,312,422,1,386,110,0
TOW000072,CLM000449,VEH000449,P019,75024,Plano,TX,YARD_OKC_01,13.6,2025-07-25 14:00:00,2025-07-25 16:19:14,2.3,standard,117,15,59,0,192,266,0,296,74,0
TOW000073,CLM004210,VEH004210,P035,76010,Arlington,TX,YARD_AUS_01,11.7,2025-01-17 07:00:00,2025-01-17 09:15:06,2.3,priority,111,14,56,350,350,511,1,497,161,1
TOW000074,CLM002015,VEH002015,P007,78664,Round Rock,TX,YARD_AUS_01,24.8,2025-07-28 19:00:00,2025-07-29 02:18:01,7.3,long_distance,152,24,80,450,450,644,1,770,194,1
TOW000075,CLM008960,VEH008960,P031,78701,Austin,TX,YARD_AUS_01,32.3,2025-05-05 20:00:00,2025-05-06 05:05:35,9.1,standard,175,31,93,360,360,428,1,474,68,1
TOW000076,CLM003634,VEH003634,P005,77520,Baytown,TX,YARD_OKC_01,15.9,2025-02-11 10:00:00,2025-02-11 16:08:45,6.1,heavy_vehicle,344,13,194,714,714,1040,1,1222,326,1
TOW000077,CLM007295,VEH007295,P037,78701,Austin,TX,YARD_AUS_01,24.7,2025-03-06 13:00:00,2025-03-06 18:51:51,5.9,after_hours,152,27,79,0,258,373,0,349,115,0
TOW000078,CLM002532,VEH002532,P035,77002,Houston,TX,YARD_AUS_01,47.9,2025-06-16 15:00:00,2025-06-17 01:09:51,10.2,standard,223,41,121,0,386,516,0,590,130,0
TOW000079,CLM004866,VEH004866,P023,75149,Mesquite,TX,YARD_DAL_01,7.4,2025-04-10 07:00:00,2025-04-10 18:38:45,11.6,heavy_vehicle,318,6,178,0,502,655,0,684,153,0
TOW000080,CLM002515,VEH002515,P037,77520,Baytown,TX,YARD_DAL_01,42.7,2025-04-13 14:00:00,2025-04-13 20:47:07,6.8,standard,207,33,112,0,352,431,0,460,79,0
TOW000081,CLM004344,VEH004344,P028,75149,Mesquite,TX,YARD_HOU_01,30.7,2025-02-21 22:00:00,2025-02-22 00:49:53,2.8,standard,170,19,90,0,280,354,0,341,74,0
TOW000082,CLM009837,VEH009837,P006,77520,Baytown,TX,YARD_HOU_01,25.2,2025-02-10 19:00:00,2025-02-10 22:49:28,3.8,standard,153,21,80,487,487,630,0,720,143,1
TOW000083,CLM002495,VEH002495,P019,78664,Round Rock,TX,YARD_DAL_01,7.5,2025-03-08 12:00:00,2025-03-08 19:01:23,7.0,standard,98,5,48,0,152,212,1,185,60,0
TOW000084,CLM008576,VEH008576,P005,77002,Houston,TX,YARD_DAL_01,50.8,2025-03-09 13:00:00,2025-03-09 19:35:20,6.6,priority,232,47,126,0,406,502,1,564,96,0
TOW000085,CLM005768,VEH005768,P040,77002,Houston,TX,YARD_HOU_01,11.4,2025-04-28 07:00:00,2025-04-28 14:04:54,7.1,heavy_vehicle,330,6,186,0,522,739,1,755,217,0
TOW000086,CLM006591,VEH006591,P003,76010,Arlington,TX,YARD_HOU_01,29.9,2025-07-28 08:00:00,2025-07-28 13:29:48,5.5,standard,168,33,89,0,289,341,1,396,52,0
TOW000087,CLM005763,VEH005763,P005,75024,Plano,TX,YARD_DAL_01,36.1,2025-07-22 22:00:00,2025-07-23 01:19:32,3.3,priority,187,36,100,0,323,394,0,252,71,0
TOW000088,CLM000228,VEH000228,P007,75024,Plano,TX,YARD_OKC_01,22.0,2025-03-21 06:00:00,2025-03-21 10:36:46,4.6,after_hours,143,26,75,0,244,324,0,338,80,0
TOW000089,CLM007076,VEH007076,P015,77002,Houston,TX,YARD_DAL_01,31.0,2025-07-07 14:00:00,2025-07-07 22:30:28,8.5,standard,171,36,91,0,298,357,0,425,59,0
TOW000090,CLM009513,VEH009513,P010,76010,Arlington,TX,YARD_OKC_01,43.4,2025-03-23 14:00:00,2025-03-23 19:54:47,5.9,long_distance,210,52,113,0,374,496,1,418,122,0
TOW000091,CLM009239,VEH009239,P037,73102,Oklahoma City,OK,YARD_AUS_01,49.7,2025-04-22 10:00:00,2025-04-22 14:54:45,4.9,standard,229,59,124,545,545,755,1,702,210,1
TOW000092,CLM005594,VEH005594,P040,78701,Austin,TX,YARD_HOU_01,5.7,2025-06-20 13:00:00,2025-06-20 17:25:32,4.4,standard,93,4,45,0,142,191,0,124,49,0
TOW000093,CLM001359,VEH001359,P028,78701,Austin,TX,YARD_AUS_01,45.3,2025-03-17 21:00:00,2025-03-18 03:26:41,6.4,after_hours,215,32,117,0,364,545,1,554,181,0
TOW000094,CLM008592,VEH008592,P012,76010,Arlington,TX,YARD_AUS_01,15.2,2025-01-11 18:00:00,2025-01-11 20:35:04,2.6,long_distance,122,12,62,0,197,287,0,308,90,0
TOW000095,CLM003375,VEH003375,P014,76010,Arlington,TX,YARD_AUS_01,23.9,2025-03-22 11:00:00,2025-03-22 18:47:50,7.8,standard,149,26,78,0,253,360,0,365,107,0
TOW000096,CLM007846,VEH007846,P003,75201,Dallas,TX,YARD_OKC_01,13.5,2025-04-26 20:00:00,2025-04-27 01:34:01,5.6,after_hours,117,13,59,0,189,224,0,241,35,0
TOW000097,CLM001877,VEH001877,P028,77520,Baytown,TX,YARD_DAL_01,14.3,2025-07-17 18:00:00,2025-07-17 20:46:54,2.8,standard,119,15,61,0,195,298,1,313,103,0
TOW000098,CLM008360,VEH008360,P008,78701,Austin,TX,YARD_OKC_01,35.3,2025-06-12 13:00:00,2025-06-12 20:05:55,7.1,standard,184,21,99,0,304,458,0,470,154,0
TOW000099,CLM005643,VEH005643,P040,76010,Arlington,TX,YARD_DAL_01,33.4,2025-07-21 07:00:00,2025-07-21 12:15:20,5.3,standard,179,33,95,537,537,669,0,712,132,1
TOW000100,CLM008591,VEH008591,P005,73102,Oklahoma City,OK,YARD_AUS_01,71.8,2025-06-02 08:00:00,2025-06-02 19:37:58,11.6,heavy_vehicle,518,86,294,958,958,1092,1,1004,134,1
TOW000101,CLM001711,VEH001711,P040,75024,Plano,TX,YARD_AUS_01,63.7,2025-02-06 16:00:00,2025-02-06 20:58:57,5.0,after_hours,272,58,150,0,480,741,0,644,261,0
TOW000102,CLM000410,VEH000410,P019,73102,Oklahoma City,OK,YARD_AUS_01,32.5,2025-02-04 20:00:00,2025-02-05 04:09:48,8.2,standard,176,21,94,0,290,415,1,325,125,0
TOW000103,CLM007194,VEH007194,P026,75149,Mesquite,TX,YARD_HOU_01,21.0,2025-02-17 08:00:00,2025-02-17 17:09:21,9.2,standard,140,24,73,0,236,322,1,298,86,0
TOW000104,CLM005887,VEH005887,P035,78664,Round Rock,TX,YARD_AUS_01,12.2,2025-05-11 22:00:00,2025-05-12 01:22:17,3.4,after_hours,113,9,57,0,179,221,0,203,42,0
TOW000105,CLM004816,VEH004816,P028,77520,Baytown,TX,YARD_AUS_01,9.3,2025-04-30 08:00:00,2025-04-30 16:09:35,8.2,after_hours,104,5,52,0,161,188,1,165,27,0
TOW000106,CLM008286,VEH008286,P013,75149,Mesquite,TX,YARD_HOU_01,16.1,2025-01-30 20:00:00,2025-01-31 00:34:08,4.6,long_distance,125,11,64,0,200,307,0,230,107,0
TOW000107,CLM001272,VEH001272,P031,75024,Plano,TX,YARD_DAL_01,12.1,2025-03-08 09:00:00,2025-03-08 12:03:46,3.1,standard,113,10,57,0,180,256,1,264,76,0
TOW000108,CLM008893,VEH008893,P028,75024,Plano,TX,YARD_OKC_01,25.0,2025-05-01 19:00:00,2025-05-02 02:38:23,7.6,long_distance,152,28,80,0,261,391,1,482,130,0
TOW000109,CLM001415,VEH001415,P013,78664,Round Rock,TX,YARD_HOU_01,43.4,2025-07-23 12:00:00,2025-07-23 21:45:06,9.8,priority,210,42,113,0,365,444,0,470,79,0
TOW000110,CLM005029,VEH005029,P003,75201,Dallas,TX,YARD_HOU_01,12.7,2025-02-16 11:00:00,2025-02-16 17:38:41,6.6,after_hours,114,8,58,0,180,227,1,230,47,0
TOW000111,CLM009821,VEH009821,P015,76010,Arlington,TX,YARD_OKC_01,14.1,2025-02-05 06:00:00,2025-02-05 10:38:29,4.6,long_distance,119,11,60,0,190,221,1,210,31,0
TOW000112,CLM007696,VEH007696,P004,78701,Austin,TX,YARD_DAL_01,21.6,2025-05-15 15:00:00,2025-05-15 21:55:51,6.9,standard,142,14,74,0,230,282,1,293,52,0
TOW000113,CLM002773,VEH002773,P039,75201,Dallas,TX,YARD_AUS_01,17.0,2025-02-06 13:00:00,2025-02-06 19:44:22,6.7,long_distance,128,12,66,0,206,233,1,225,27,0
TOW000114,CLM008758,VEH008758,P015,75024,Plano,TX,YARD_HOU_01,38.5,2025-05-21 18:00:00,2025-05-22 03:53:03,9.9,standard,194,22,104,0,321,497,0,301,176,0
TOW000115,CLM001162,VEH001162,P003,75201,Dallas,TX,YARD_DAL_01,68.1,2025-02-04 20:00:00,2025-02-05 03:49:07,7.8,priority,286,65,158,0,509,788,0,787,279,0
TOW000116,CLM009496,VEH009496,P023,77520,Baytown,TX,YARD_AUS_01,29.2,2025-02-02 12:00:00,2025-02-02 14:51:22,2.9,standard,166,30,88,0,283,428,1,425,145,0
TOW000117,CLM000741,VEH000741,P013,77520,Baytown,TX,YARD_HOU_01,42.3,2025-04-15 20:00:00,2025-04-16 02:28:36,6.5,standard,206,31,111,0,348,421,1,445,73,0
TOW000118,CLM009732,VEH009732,P035,78664,Round Rock,TX,YARD_AUS_01,20.7,2025-06-04 06:00:00,2025-06-04 13:57:51,8.0,standard,139,23,72,0,234,290,1,349,56,0
TOW000119,CLM009148,VEH009148,P003,75024,Plano,TX,YARD_HOU_01,65.1,2025-05-15 10:00:00,2025-05-15 17:05:57,7.1,long_distance,277,72,152,0,501,648,0,608,147,0
TOW000120,CLM003858,VEH003858,P040,78664,Round Rock,TX,YARD_OKC_01,15.7,2025-07-02 22:00:00,2025-07-03 05:59:31,8.0,standard,124,15,63,0,202,256,1,251,54,0
TOW000121,CLM002318,VEH002318,P005,78701,Austin,TX,YARD_OKC_01,47.1,2025-05-15 19:00:00,2025-05-16 01:16:52,6.3,priority,221,43,120,0,384,472,1,469,88,0
TOW000122,CLM003822,VEH003822,P028,75024,Plano,TX,YARD_AUS_01,7.6,2025-03-26 11:00:00,2025-03-26 12:55:14,1.9,priority,99,9,49,0,156,241,1,251,85,0
TOW000123,CLM009062,VEH009062,P040,75201,Dallas,TX,YARD_OKC_01,46.8,2025-06-02 17:00:00,2025-06-02 22:22:36,5.4,priority,220,29,119,0,368,558,0,553,190,0
TOW000124,CLM004276,VEH004276,P002,78701,Austin,TX,YARD_AUS_01,21.7,2025-01-06 11:00:00,2025-01-06 13:57:25,3.0,standard,142,18,74,0,235,315,1,372,80,0
TOW000125,CLM001098,VEH001098,P013,76010,Arlington,TX,YARD_OKC_01,73.6,2025-02-25 17:00:00,2025-02-26 04:49:03,11.8,priority,303,57,167,582,582,896,1,934,314,1
TOW000126,CLM004868,VEH004868,P004,77520,Baytown,TX,YARD_HOU_01,2.2,2025-05-06 11:00:00,2025-05-06 14:15:54,3.3,standard,82,2,39,0,123,139,1,159,16,0
TOW000127,CLM004755,VEH004755,P037,77002,Houston,TX,YARD_AUS_01,18.2,2025-06-25 12:00:00,2025-06-25 14:51:02,2.9,standard,131,21,68,0,220,312,0,287,92,0
TOW000128,CLM000758,VEH000758,P037,75024,Plano,TX,YARD_DAL_01,33.1,2025-07-25 08:00:00,2025-07-25 14:30:10,6.5,priority,178,39,95,0,311,382,0,404,71,0
TOW000129,CLM005868,VEH005868,P028,75201,Dallas,TX,YARD_DAL_01,42.1,2025-02-10 13:00:00,2025-02-10 17:20:40,4.3,after_hours,206,40,111,0,356,461,1,521,105,0
TOW000130,CLM002818,VEH002818,P040,75024,Plano,TX,YARD_OKC_01,53.2,2025-05-15 08:00:00,2025-05-15 17:57:42,10.0,standard,240,61,131,0,432,659,1,688,227,0
TOW000131,CLM000531,VEH000531,P019,76010,Arlington,TX,YARD_HOU_01,11.2,2025-01-05 16:00:00,2025-01-05 22:32:36,6.5,priority,110,7,55,0,172,235,0,199,63,0
TOW000132,CLM000441,VEH000441,P022,78664,Round Rock,TX,YARD_HOU_01,58.5,2025-04-15 20:00:00,2025-04-16 04:34:32,8.6,long_distance,256,37,140,0,434,585,0,587,151,0
TOW000133,CLM009290,VEH009290,P005,75201,Dallas,TX,YARD_DAL_01,27.9,2025-07-12 11:00:00,2025-07-12 14:21:59,3.4,after_hours,161,24,85,0,271,393,0,414,122,0
TOW000134,CLM009293,VEH009293,P013,75024,Plano,TX,YARD_OKC_01,34.7,2025-03-21 14:00:00,2025-03-21 16:56:46,2.9,priority,183,37,97,0,317,456,0,431,139,0
TOW000135,CLM004173,VEH004173,P004,75201,Dallas,TX,YARD_OKC_01,8.9,2025-05-08 08:00:00,2025-05-08 09:39:50,1.7,standard,103,6,51,0,159,193,1,188,34,0
TOW000136,CLM006862,VEH006862,P025,76010,Arlington,TX,YARD_OKC_01,11.7,2025-04-05 07:00:00,2025-04-05 15:35:49,8.6,standard,111,9,56,0,176,198,0,198,22,0
