allocation_scenario_id,simulation_run_id,vehicle_id,yard_id,allocation_strategy,assigned_zone_id,assigned_slot_id,vehicle_priority_score,zone_accessibility_score,simulated_retrieval_duration_minutes,simulated_wait_time_minutes,simulated_travel_distance_meters,blocked_vehicle_count_estimate,high_priority_flag,retrieval_under_15_min_flag,priority_weighted_time,allocation_efficiency_score
ALC000052,RUN001,VEH000013,YARD_OKC_01,optimized,A,A09-005,81.1,67,26.5,36.4,832,2,1,0,21.5,100
ALC000053,RUN001,VEH000014,YARD_DAL_01,random,OF,OF10-024,87.3,39,51.2,71.8,1773,2,1,0,44.7,71
ALC000054,RUN001,VEH000014,YARD_DAL_01,first_available,LTH,LTH09-010,87.3,39,34.7,42.6,1693,0,1,0,30.3,87
ALC000055,RUN001,VEH000014,YARD_DAL_01,priority_based,FA,FA02-025,87.3,92,8.3,24.3,241,0,1,1,7.3,100
ALC000056,RUN001,VEH000014,YARD_DAL_01,optimized,B,B11-012,87.3,65,22.1,39.7,582,4,1,0,19.3,100
ALC000057,RUN001,VEH000015,YARD_OKC_01,random,NR,NR02-023,76.3,52,61.5,68.3,408,6,1,0,46.9,60
ALC000058,RUN001,VEH000015,YARD_OKC_01,first_available,A,A12-007,76.3,68,25.8,38.4,498,0,1,0,19.7,100
ALC000059,RUN001,VEH000015,YARD_OKC_01,priority_based,B,B03-009,76.3,77,30.5,42.7,346,3,1,0,23.3,98
ALC000060,RUN001,VEH000015,YARD_OKC_01,optimized,A,A05-021,76.3,65,30.5,53.9,562,2,1,0,23.3,100
ALC000061,RUN001,VEH000016,YARD_DAL_01,random,B,B19-022,63.1,74,46.8,58.0,371,6,0,0,29.5,78
ALC000062,RUN001,VEH000016,YARD_DAL_01,first_available,LTH,LTH14-004,63.1,43,50.5,62.6,1696,2,0,0,31.9,73
ALC000063,RUN001,VEH000016,YARD_DAL_01,priority_based,LTH,LTH14-018,63.1,29,28.8,42.1,963,2,0,0,18.2,84
ALC000064,RUN001,VEH000016,YARD_DAL_01,optimized,B,B10-016,63.1,59,23.7,43.7,493,4,0,0,15.0,100
ALC000065,RUN001,VEH000017,YARD_AUS_01,random,FA,FA10-007,85.1,84,22.2,38.6,101,1,1,0,18.9,100
ALC000066,RUN001,VEH000017,YARD_AUS_01,first_available,A,A04-004,85.1,58,27.2,50.1,594,0,1,0,23.2,99
ALC000067,RUN001,VEH000017,YARD_AUS_01,priority_based,A,A07-006,85.1,76,37.0,55.1,763,5,1,0,31.5,88
ALC000068,RUN001,VEH000017,YARD_AUS_01,optimized,B,B13-011,85.1,85,29.9,35.2,931,3,1,0,25.4,100
ALC000069,RUN001,VEH000018,YARD_HOU_01,random,B,B09-020,73.2,70,37.4,58.0,787,0,0,0,27.3,96
ALC000070,RUN001,VEH000018,YARD_HOU_01,first_available,A,A05-014,73.2,70,33.6,50.5,717,3,0,0,24.6,93
ALC000071,RUN001,VEH000018,YARD_HOU_01,priority_based,A,A06-024,73.2,67,24.0,35.3,633,0,0,0,17.6,100
ALC000072,RUN001,VEH000018,YARD_HOU_01,optimized,A,A03-001,73.2,72,23.5,36.9,489,2,0,0,17.2,100
ALC000073,RUN001,VEH000019,YARD_HOU_01,random,A,A16-005,71.3,66,42.3,58.6,808,2,0,0,30.2,87
ALC000074,RUN001,VEH000019,YARD_HOU_01,first_available,NR,NR20-014,71.3,38,50.6,80.6,419,7,0,0,36.1,61
ALC000075,RUN001,VEH000019,YARD_HOU_01,priority_based,A,A16-012,71.3,77,28.5,56.3,800,4,0,0,20.3,97
ALC000076,RUN001,VEH000019,YARD_HOU_01,optimized,FA,FA11-010,71.3,82,24.1,47.7,214,3,0,0,17.2,100
ALC000077,RUN001,VEH000020,YARD_DAL_01,random,B,B01-024,64.6,82,49.2,52.5,882,2,0,0,31.8,87
ALC000078,RUN001,VEH000020,YARD_DAL_01,first_available,A,A13-017,64.6,71,36.3,48.0,385,1,0,0,23.4,95
ALC000079,RUN001,VEH000020,YARD_DAL_01,priority_based,NR,NR14-017,64.6,45,34.8,53.9,699,2,0,0,22.5,85
ALC000080,RUN001,VEH000020,YARD_DAL_01,optimized,A,A15-009,64.6,70,26.5,58.3,581,2,0,0,17.1,100
ALC000081,RUN001,VEH000021,YARD_OKC_01,random,FA,FA13-023,73.4,82,21.0,28.1,217,1,0,0,15.4,100
ALC000082,RUN001,VEH000021,YARD_OKC_01,first_available,LTH,LTH16-010,73.4,28,30.6,39.0,1644,0,0,0,22.5,86
ALC000083,RUN001,VEH000021,YARD_OKC_01,priority_based,OF,OF01-004,73.4,17,32.3,42.7,1514,4,0,0,23.7,73
ALC000084,RUN001,VEH000021,YARD_OKC_01,optimized,B,B20-025,73.4,55,26.7,53.1,811,3,0,0,19.6,100
ALC000085,RUN001,VEH000022,YARD_DAL_01,random,HV,HV15-019,80.2,58,47.9,66.6,1362,3,1,0,38.4,78
ALC000086,RUN001,VEH000022,YARD_DAL_01,first_available,A,A05-007,80.2,70,31.6,58.0,449,6,1,0,25.3,88
ALC000087,RUN001,VEH000022,YARD_DAL_01,priority_based,B,B12-008,80.2,67,21.3,51.5,543,3,1,0,17.1,100
ALC000088,RUN001,VEH000022,YARD_DAL_01,optimized,B,B10-009,80.2,81,17.1,29.6,595,2,1,0,13.7,100
ALC000089,RUN001,VEH000023,YARD_HOU_01,random,LTH,LTH14-018,78.7,48,45.8,61.3,1340,2,1,0,36.1,78
ALC000090,RUN001,VEH000023,YARD_HOU_01,first_available,LTH,LTH11-002,78.7,37,36.3,49.5,1579,2,1,0,28.6,81
ALC000091,RUN001,VEH000023,YARD_HOU_01,priority_based,A,A15-009,78.7,63,18.9,37.9,928,0,1,0,14.8,100
ALC000092,RUN001,VEH000023,YARD_HOU_01,optimized,FA,FA20-002,78.7,85,19.0,37.5,362,0,1,0,14.9,100
ALC000093,RUN001,VEH000024,YARD_OKC_01,random,A,A10-022,70.1,62,42.1,57.9,710,2,0,0,29.5,86
ALC000094,RUN001,VEH000024,YARD_OKC_01,first_available,A,A06-010,70.1,71,24.5,36.6,421,0,0,0,17.2,100
ALC000095,RUN001,VEH000024,YARD_OKC_01,priority_based,A,A18-025,70.1,66,34.8,49.8,619,3,0,0,24.4,90
ALC000096,RUN001,VEH000024,YARD_OKC_01,optimized,A,A13-010,70.1,67,24.6,56.6,708,2,0,0,17.2,100
ALC000097,RUN001,VEH000025,YARD_OKC_01,random,NR,NR20-014,83.4,52,49.4,62.4,970,3,1,0,41.2,75
ALC000098,RUN001,VEH000025,YARD_OKC_01,first_available,B,B17-016,83.4,83,28.1,59.7,790,0,1,0,23.5,100
ALC000099,RUN001,VEH000025,YARD_OKC_01,priority_based,FA,FA06-023,83.4,90,16.3,17.6,188,0,1,0,13.6,100
ALC000100,RUN001,VEH000025,YARD_OKC_01,optimized,B,B10-002,83.4,72,19.8,33.9,602,2,1,0,16.5,100
ALC000101,RUN001,VEH000026,YARD_HOU_01,random,B,B15-010,83.5,73,45.4,74.4,826,1,1,0,37.9,89
ALC000102,RUN001,VEH000026,YARD_HOU_01,first_available,A,A15-009,83.5,63,26.2,42.5,728,0,1,0,21.9,100
ALC000103,RUN001,VEH000026,YARD_HOU_01,priority_based,B,B20-011,83.5,68,29.4,48.9,269,3,1,0,24.5,95
ALC000104,RUN001,VEH000026,YARD_HOU_01,optimized,FA,FA15-015,83.5,93,18.4,29.8,343,0,1,0,15.4,100
ALC000105,RUN001,VEH000027,YARD_AUS_01,random,HV,HV14-023,100,46,34.1,49.2,1377,0,1,0,34.1,90
ALC000106,RUN001,VEH000027,YARD_AUS_01,first_available,B,B16-020,100,76,32.8,55.4,680,3,1,0,32.8,96
ALC000107,RUN001,VEH000027,YARD_AUS_01,priority_based,B,B08-003,100,59,34.6,63.1,780,4,1,0,34.6,86
ALC000108,RUN001,VEH000027,YARD_AUS_01,optimized,A,A11-018,100,76,24.8,59.0,539,5,1,0,24.8,100
ALC000109,RUN001,VEH000028,YARD_HOU_01,random,FA,FA20-023,90.4,91,22.0,33.2,199,1,1,0,19.9,100
ALC000110,RUN001,VEH000028,YARD_HOU_01,first_available,OF,OF06-019,90.4,33,53.4,70.3,1574,5,1,0,48.3,61
ALC000111,RUN001,VEH000028,YARD_HOU_01,priority_based,B,B15-017,90.4,83,17.2,32.1,906,1,1,0,15.5,100
ALC000112,RUN001,VEH000028,YARD_HOU_01,optimized,A,A13-017,90.4,74,22.3,37.8,814,1,1,0,20.2,100
ALC000113,RUN001,VEH000029,YARD_DAL_01,random,NR,NR04-001,88.4,48,50.0,69.7,792,4,1,0,44.2,71
ALC000114,RUN001,VEH000029,YARD_DAL_01,first_available,B,B01-017,88.4,61,48.2,63.4,598,5,1,0,42.6,75
ALC000115,RUN001,VEH000029,YARD_DAL_01,priority_based,FA,FA09-004,88.4,85,22.3,32.3,402,0,1,0,19.7,100
ALC000116,RUN001,VEH000029,YARD_DAL_01,optimized,FA,FA09-011,88.4,94,15.7,30.3,323,0,1,0,13.8,100
ALC000117,RUN001,VEH000030,YARD_HOU_01,random,NR,NR18-001,54.7,67,61.9,61.2,1046,4,0,0,33.9,68
ALC000118,RUN001,VEH000030,YARD_HOU_01,first_available,B,B11-012,54.7,69,53.2,73.5,505,5,0,0,29.1,74
ALC000119,RUN001,VEH000030,YARD_HOU_01,priority_based,A,A16-019,54.7,69,18.6,41.9,522,0,0,0,10.2,100
ALC000120,RUN001,VEH000030,YARD_HOU_01,optimized,B,B08-017,54.7,56,23.3,46.8,871,0,0,0,12.7,100
ALC000121,RUN001,VEH000031,YARD_HOU_01,random,B,B16-013,58.5,68,29.5,53.1,354,0,0,0,17.3,100
ALC000122,RUN001,VEH000031,YARD_HOU_01,first_available,B,B19-001,58.5,78,49.4,59.1,789,4,0,0,28.9,82
ALC000123,RUN001,VEH000031,YARD_HOU_01,priority_based,A,A04-018,58.5,66,36.8,62.7,432,3,0,0,21.5,89
ALC000124,RUN001,VEH000031,YARD_HOU_01,optimized,A,A16-012,58.5,77,25.6,57.2,628,2,0,0,15.0,100
ALC000125,RUN001,VEH000032,YARD_HOU_01,random,B,B10-009,87.2,55,36.5,46.4,728,1,1,0,31.8,89
ALC000126,RUN001,VEH000032,YARD_HOU_01,first_available,B,B16-020,87.2,57,34.3,48.7,694,1,1,0,29.9,92
ALC000127,RUN001,VEH000032,YARD_HOU_01,priority_based,B,B18-005,87.2,58,36.8,54.9,492,5,1,0,32.1,82
ALC000128,RUN001,VEH000032,YARD_HOU_01,optimized,FA,FA16-011,87.2,95,21.4,44.9,390,0,1,0,18.6,100
ALC000129,RUN001,VEH000033,YARD_DAL_01,random,NR,NR04-001,88.8,48,61.6,85.6,771,6,1,0,54.7,58
ALC000130,RUN001,VEH000033,YARD_DAL_01,first_available,NR,NR08-006,88.8,49,34.5,54.3,1229,1,1,0,30.6,89
ALC000131,RUN001,VEH000033,YARD_DAL_01,priority_based,A,A02-005,88.8,77,29.4,50.1,505,1,1,0,26.1,100
ALC000132,RUN001,VEH000033,YARD_DAL_01,optimized,B,B18-019,88.8,82,20.5,28.0,803,1,1,0,18.2,100
ALC000133,RUN001,VEH000034,YARD_DAL_01,random,LTH,LTH03-006,79.4,53,53.2,62.1,1728,3,1,0,42.2,72
ALC000134,RUN001,VEH000034,YARD_DAL_01,first_available,OF,OF05-002,79.4,18,54.7,89.6,1883,6,1,0,43.5,53
ALC000135,RUN001,VEH000034,YARD_DAL_01,priority_based,FA,FA09-018,79.4,89,22.6,36.1,277,2,1,0,18.0,100
ALC000136,RUN001,VEH000034,YARD_DAL_01,optimized,A,A07-006,79.4,74,17.6,35.3,980,0,1,0,14.0,100
ALC000137,RUN001,VEH000035,YARD_DAL_01,random,B,B19-022,85.9,74,29.3,54.3,413,2,1,0,25.2,99
ALC000138,RUN001,VEH000035,YARD_DAL_01,first_available,LTH,LTH02-010,85.9,26,48.1,86.4,1211,4,1,0,41.3,65
ALC000139,RUN001,VEH000035,YARD_DAL_01,priority_based,B,B18-005,85.9,61,15.7,37.5,565,0,1,0,13.5,100
ALC000140,RUN001,VEH000035,YARD_DAL_01,optimized,FA,FA09-011,85.9,94,15.4,26.5,246,2,1,0,13.2,100
ALC000141,RUN001,VEH000036,YARD_DAL_01,random,A,A20-003,78.5,55,40.0,66.6,844,1,1,0,31.4,87
ALC000142,RUN001,VEH000036,YARD_DAL_01,first_available,A,A13-017,78.5,71,40.2,64.0,443,2,1,0,31.6,90
ALC000143,RUN001,VEH000036,YARD_DAL_01,priority_based,B,B04-019,78.5,65,30.7,57.0,745,2,1,0,24.1,95
ALC000144,RUN001,VEH000036,YARD_DAL_01,optimized,B,B12-015,78.5,78,29.1,45.1,808,1,1,0,22.8,100
ALC000145,RUN001,VEH000037,YARD_AUS_01,random,FA,FA05-013,86.6,88,29.3,36.6,320,3,1,0,25.4,100
ALC000146,RUN001,VEH000037,YARD_AUS_01,first_available,B,B20-018,86.6,81,34.4,58.5,425,5,1,0,29.8,92
ALC000147,RUN001,VEH000037,YARD_AUS_01,priority_based,B,B14-007,86.6,57,31.1,49.0,493,5,1,0,26.9,86
ALC000148,RUN001,VEH000037,YARD_AUS_01,optimized,FA,FA06-009,86.6,89,13.7,32.6,314,1,1,1,11.9,100
ALC000149,RUN001,VEH000038,YARD_OKC_01,random,NR,NR05-004,73.5,41,62.9,93.0,831,6,0,0,46.2,55
ALC000150,RUN001,VEH000038,YARD_OKC_01,first_available,NR,NR17-012,73.5,36,46.7,67.8,1309,2,0,0,34.3,73
ALC000151,RUN001,VEH000038,YARD_OKC_01,priority_based,NR,NR18-022,73.5,58,36.8,63.2,571,4,0,0,27.0,84
ALC000152,RUN001,VEH000038,YARD_OKC_01,optimized,B,B03-023,73.5,75,22.1,28.6,744,0,0,0,16.2,100
ALC000153,RUN001,VEH000039,YARD_HOU_01,random,NR,NR20-014,82.1,38,40.6,61.7,493,3,1,0,33.3,76
ALC000154,RUN001,VEH000039,YARD_HOU_01,first_available,B,B01-003,82.1,85,37.3,51.3,433,5,1,0,30.6,91
ALC000155,RUN001,VEH000039,YARD_HOU_01,priority_based,B,B14-021,82.1,63,39.2,61.8,724,5,1,0,32.2,82
ALC000156,RUN001,VEH000039,YARD_HOU_01,optimized,FA,FA02-025,82.1,82,23.1,41.6,220,3,1,0,18.9,100
ALC000157,RUN001,VEH000040,YARD_HOU_01,random,B,B20-011,80.3,68,35.3,60.7,450,2,1,0,28.3,93
ALC000158,RUN001,VEH000040,YARD_HOU_01,first_available,NR,NR05-025,80.3,57,30.4,52.6,729,1,1,0,24.4,95
ALC000159,RUN001,VEH000040,YARD_HOU_01,priority_based,B,B20-004,80.3,76,41.0,66.4,769,5,1,0,33.0,85
ALC000160,RUN001,VEH000040,YARD_HOU_01,optimized,FA,FA18-003,80.3,94,25.6,39.8,305,3,1,0,20.6,100
ALC000161,RUN001,VEH000041,YARD_OKC_01,random,LTH,LTH01-021,85.8,54,46.7,60.9,1153,2,1,0,40.0,79
ALC000162,RUN001,VEH000041,YARD_OKC_01,first_available,LTH,LTH16-010,85.8,28,56.5,70.7,1734,4,1,0,48.5,59
ALC000163,RUN001,VEH000041,YARD_OKC_01,priority_based,B,B08-010,85.8,65,32.3,58.8,572,5,1,0,27.7,88
ALC000164,RUN001,VEH000041,YARD_OKC_01,optimized,FA,FA10-021,85.8,95,19.3,26.4,178,3,1,0,16.5,100
ALC000165,RUN001,VEH000042,YARD_OKC_01,random,A,A05-014,81.8,69,35.5,39.9,397,2,1,0,29.1,93
ALC000166,RUN001,VEH000042,YARD_OKC_01,first_available,A,A04-011,81.8,69,36.2,54.7,568,3,1,0,29.6,90
ALC000167,RUN001,VEH000042,YARD_OKC_01,priority_based,B,B20-011,81.8,69,26.8,58.1,705,2,1,0,21.9,100
ALC000168,RUN001,VEH000042,YARD_OKC_01,optimized,B,B17-023,81.8,56,22.7,42.5,344,1,1,0,18.5,100
ALC000169,RUN001,VEH000043,YARD_HOU_01,random,FA,FA01-015,75.6,95,24.8,39.8,216,2,1,0,18.7,100
ALC000170,RUN001,VEH000043,YARD_HOU_01,first_available,B,B15-003,75.6,76,23.9,35.2,465,1,1,0,18.1,100
ALC000171,RUN001,VEH000043,YARD_HOU_01,priority_based,B,B18-005,75.6,58,14.5,22.7,504,0,1,1,11.0,100
ALC000172,RUN001,VEH000043,YARD_HOU_01,optimized,A,A08-002,75.6,59,15.3,35.1,375,1,1,0,11.6,100
ALC000173,RUN001,VEH000044,YARD_HOU_01,random,LTH,LTH15-021,92.8,45,42.3,76.9,1587,2,1,0,39.2,80
ALC000174,RUN001,VEH000044,YARD_HOU_01,first_available,LTH,LTH17-006,92.8,40,25.6,34.6,951,0,1,0,23.8,94
ALC000175,RUN001,VEH000044,YARD_HOU_01,priority_based,A,A17-015,92.8,75,31.7,54.4,818,3,1,0,29.4,96
ALC000176,RUN001,VEH000044,YARD_HOU_01,optimized,A,A14-013,92.8,79,22.9,45.2,340,4,1,0,21.3,100
ALC000177,RUN001,VEH000045,YARD_DAL_01,random,A,A09-012,81.0,56,58.5,84.9,331,4,1,0,47.4,67
ALC000178,RUN001,VEH000045,YARD_DAL_01,first_available,A,A13-010,81.0,74,39.3,60.0,577,4,1,0,31.8,88
ALC000179,RUN001,VEH000045,YARD_DAL_01,priority_based,FA,FA19-013,81.0,82,28.8,52.6,152,2,1,0,23.3,100
ALC000180,RUN001,VEH000045,YARD_DAL_01,optimized,A,A11-004,81.0,57,27.6,30.8,661,0,1,0,22.4,100
ALC000181,RUN001,VEH000046,YARD_AUS_01,random,NR,NR11-015,71.2,70,33.9,43.7,826,0,0,0,24.2,99
ALC000182,RUN001,VEH000046,YARD_AUS_01,first_available,A,A18-011,71.2,81,36.8,54.3,343,3,0,0,26.2,94
ALC000183,RUN001,VEH000046,YARD_AUS_01,priority_based,A,A15-009,71.2,83,21.5,43.1,447,2,0,0,15.3,100
ALC000184,RUN001,VEH000046,YARD_AUS_01,optimized,B,B11-012,71.2,65,33.4,63.4,766,3,0,0,23.8,99
ALC000185,RUN001,VEH000047,YARD_AUS_01,random,A,A02-019,87.9,66,55.1,66.8,764,4,1,0,48.5,73
ALC000186,RUN001,VEH000047,YARD_AUS_01,first_available,A,A03-001,87.9,58,32.8,45.2,507,1,1,0,28.9,93
ALC000187,RUN001,VEH000047,YARD_AUS_01,priority_based,B,B19-008,87.9,85,29.2,40.4,499,3,1,0,25.7,100
ALC000188,RUN001,VEH000047,YARD_AUS_01,optimized,A,A07-006,87.9,76,42.6,65.9,854,5,1,0,37.5,92
ALC000189,RUN001,VEH000048,YARD_AUS_01,random,A,A04-004,62.8,58,40.4,54.8,402,1,0,0,25.3,88
ALC000190,RUN001,VEH000048,YARD_AUS_01,first_available,NR,NR10-012,62.8,52,33.6,61.8,566,2,0,0,21.1,88
ALC000191,RUN001,VEH000048,YARD_AUS_01,priority_based,B,B10-023,62.8,68,23.5,33.6,502,0,0,0,14.8,100
ALC000192,RUN001,VEH000048,YARD_AUS_01,optimized,A,A14-006,62.8,55,28.9,54.8,538,3,0,0,18.2,99
ALC000193,RUN001,VEH000049,YARD_AUS_01,random,NR,NR06-007,77.1,63,30.5,52.9,1052,0,1,0,23.5,99
ALC000194,RUN001,VEH000049,YARD_AUS_01,first_available,B,B06-018,77.1,65,25.7,49.2,310,1,1,0,19.8,100
ALC000195,RUN001,VEH000049,YARD_AUS_01,priority_based,FA,FA14-005,77.1,89,22.5,47.4,184,4,1,0,17.4,100
ALC000196,RUN001,VEH000049,YARD_AUS_01,optimized,B,B19-022,77.1,59,27.9,49.3,898,3,1,0,21.5,100
ALC000197,RUN001,VEH000050,YARD_DAL_01,random,A,A12-014,83.7,72,36.5,59.4,912,1,1,0,30.5,95
ALC000198,RUN001,VEH000050,YARD_DAL_01,first_available,A,A14-020,83.7,80,26.4,51.3,861,1,1,0,22.1,100
ALC000199,RUN001,VEH000050,YARD_DAL_01,priority_based,B,B20-011,83.7,67,25.9,54.5,614,4,1,0,21.7,96
ALC000200,RUN001,VEH000050,YARD_DAL_01,optimized,A,A05-014,83.7,68,26.9,40.8,637,3,1,0,22.5,100
ALC000201,RUN001,VEH000051,YARD_HOU_01,random,A,A01-023,65.4,55,56.1,69.6,511,3,0,0,36.7,71
ALC000202,RUN001,VEH000051,YARD_HOU_01,first_available,A,A20-017,65.4,55,29.0,34.3,400,1,0,0,18.9,95
ALC000203,RUN001,VEH000051,YARD_HOU_01,priority_based,B,B08-024,65.4,75,39.4,60.2,697,3,0,0,25.8,90
ALC000204,RUN001,VEH000051,YARD_HOU_01,optimized,FA,FA16-004,65.4,86,27.7,35.6,199,4,0,0,18.1,100
