vehicle_id,claim_id,partner_id,yard_id,arrival_date,sale_date,pickup_date,vehicle_status,make,model,model_year,vehicle_age,vehicle_type,damage_type,damage_severity,drivability_status,title_status,estimated_salvage_value,estimated_sale_probability,expected_days_to_sale,actual_days_to_sale,pickup_required_flag,customer_pickup_flag,carrier_pickup_flag,partner_priority_score,operational_complexity_score,priority_score,created_at,updated_at
VEH000020,CLM000020,P035,YARD_DAL_01,2025-06-16,2025-07-17,2025-07-20,picked_up,Chevrolet,Malibu,2026,0,sedan,front_end,total_loss,forklift_required,rebuilt,1553,0.74,35,31,1,1,0,84,93,64.6,2025-06-16 12:45:00,2025-06-24 16:45:00
VEH000021,CLM000021,P014,YARD_OKC_01,2025-03-12,2025-04-19,2025-04-20,picked_up,Kia,Telluride,2018,8,SUV,flood,severe,runs_and_drives,salvage,500,0.78,28,38,1,1,0,100,29,73.4,2025-03-12 15:03:00,2025-04-15 18:03:00
VEH000022,CLM000022,P008,YARD_DAL_01,2025-06-26,2025-07-16,,sold_pending_pickup,BMW,5 Series,2013,13,sedan,rear_end,moderate,runs_and_drives,rebuilt,500,0.56,25,20,1,0,1,98,18,80.2,2025-06-26 13:53:00,2025-07-12 19:53:00
VEH000023,CLM000023,P015,YARD_HOU_01,2025-03-03,,,listed,Ford,Explorer,2015,11,SUV,hail,severe,runs_and_drives,salvage,500,0.46,21,,1,1,0,100,41,78.7,2025-03-03 13:16:00,2025-04-12 20:16:00
VEH000024,CLM000024,P038,YARD_OKC_01,2025-03-06,2025-05-12,,sold_pending_pickup,Toyota,Corolla,2004,22,sedan,rear_end,severe,non_running,salvage,500,0.32,53,67,1,1,0,89,62,70.1,2025-03-06 13:37:00,2025-04-12 17:37:00
VEH000025,CLM000025,P004,YARD_OKC_01,2025-05-25,2025-07-16,,sold_pending_pickup,Chevrolet,Malibu,2014,12,sedan,front_end,moderate,non_running,salvage,15536,0.70,43,52,1,0,1,100,58,83.4,2025-05-25 11:14:00,2025-06-30 17:14:00
VEH000026,CLM000026,P028,YARD_HOU_01,2025-03-02,,,listed,Chevrolet,Malibu,2015,11,sedan,front_end,moderate,forklift_required,salvage,19551,0.65,52,,1,1,0,100,82,83.5,2025-03-02 10:05:00,2025-03-18 09:05:00
VEH000027,CLM000027,P020,YARD_AUS_01,2025-03-31,2025-05-03,2025-05-05,picked_up,Honda,Civic,2019,7,sedan,mechanical,moderate,runs_and_drives,salvage,29903,0.98,24,33,1,1,0,100,27,100,2025-03-31 14:48:00,2025-05-07 13:48:00
VEH000028,CLM000028,P028,YARD_HOU_01,2025-01-31,,,listed,Honda,Accord,2011,15,sedan,mechanical,severe,runs_and_drives,clean,11526,0.62,47,,0,0,0,100,44,90.4,2025-01-31 12:23:00,2025-03-16 17:23:00
VEH000029,CLM000029,P005,YARD_DAL_01,2025-01-28,2025-03-23,,sold_pending_pickup,Honda,Pilot,2016,10,SUV,front_end,moderate,non_running,rebuilt,19131,0.73,47,54,1,0,1,100,65,88.4,2025-01-28 15:14:00,2025-03-07 19:14:00
VEH000030,CLM000030,P037,YARD_HOU_01,2025-03-17,,,title_pending,Chevrolet,Tahoe,2017,9,SUV,front_end,severe,non_running,salvage,5740,0.44,49,,0,0,0,68,82,54.7,2025-03-17 15:49:00,2025-03-25 16:49:00
VEH000031,CLM000031,P037,YARD_HOU_01,2025-05-11,2025-07-21,2025-07-23,picked_up,Ford,Mustang,2016,10,sedan,theft_recovery,moderate,forklift_required,clean,1868,0.51,57,71,1,0,1,72,74,58.5,2025-05-11 17:56:00,2025-06-03 00:56:00
VEH000032,CLM000032,P005,YARD_HOU_01,2025-05-20,2025-06-21,,listed,Toyota,Tacoma,2019,7,pickup,burn,moderate,forklift_required,salvage,17047,0.84,46,32,0,0,0,100,72,87.2,2025-05-20 10:47:00,2025-05-23 09:47:00
VEH000033,CLM000033,P031,YARD_DAL_01,2025-06-15,,,listed,Toyota,Camry,2014,12,sedan,front_end,severe,non_running,clean,18804,0.57,32,,1,1,0,100,73,88.8,2025-06-15 14:03:00,2025-07-08 18:03:00
VEH000034,CLM000034,P015,YARD_DAL_01,2025-07-15,,,listed,BMW,X3,2012,14,SUV,front_end,moderate,runs_and_drives,salvage,2288,0.54,39,,1,0,1,100,37,79.4,2025-07-15 13:32:00,2025-08-12 19:32:00
VEH000035,CLM000035,P002,YARD_DAL_01,2025-07-24,2025-09-13,,sold_pending_pickup,Toyota,RAV4,2011,15,SUV,side,severe,runs_and_drives,rebuilt,1821,0.60,45,51,1,0,1,100,32,85.9,2025-07-24 13:32:00,2025-08-04 18:32:00
VEH000036,CLM000036,P029,YARD_DAL_01,2025-05-15,2025-06-17,2025-06-19,picked_up,Ram,1500,2017,9,pickup,front_end,moderate,forklift_required,salvage,716,0.46,34,33,1,1,0,100,68,78.5,2025-05-15 11:08:00,2025-06-18 10:08:00
VEH000037,CLM000037,P013,YARD_AUS_01,2025-02-06,2025-03-19,2025-03-24,picked_up,Honda,Pilot,2019,7,SUV,burn,moderate,runs_and_drives,rebuilt,7278,0.86,28,41,1,0,1,100,32,86.6,2025-02-06 15:39:00,2025-02-17 14:39:00
VEH000038,CLM000038,P011,YARD_OKC_01,2025-02-10,2025-03-11,,sold_pending_pickup,Honda,CR-V,2020,6,SUV,side,minor,forklift_required,salvage,9318,0.78,34,29,1,1,0,87,69,73.5,2025-02-10 14:48:00,2025-03-06 18:48:00
VEH000039,CLM000039,P023,YARD_HOU_01,2025-01-06,2025-02-07,,sold_pending_pickup,BMW,5 Series,2004,22,sedan,flood,moderate,runs_and_drives,missing_title,8996,0.38,36,32,1,0,1,100,47,82.1,2025-01-06 12:46:00,2025-01-24 16:46:00
VEH000040,CLM000040,P029,YARD_HOU_01,2025-04-01,2025-04-26,,sold_pending_pickup,Ram,1500,2025,1,pickup,flood,minor,non_running,clean,15855,0.90,41,25,1,1,0,100,58,80.3,2025-04-01 12:53:00,2025-04-08 12:53:00
VEH000041,CLM000041,P004,YARD_OKC_01,2025-01-11,2025-01-12,2025-01-20,picked_up,Ram,1500,2021,5,pickup,front_end,total_loss,runs_and_drives,clean,500,0.63,7,1,1,1,0,97,35,85.8,2025-01-11 15:54:00,2025-02-01 20:54:00
VEH000042,CLM000042,P004,YARD_OKC_01,2025-01-04,2025-02-03,2025-02-05,picked_up,Toyota,Camry,2009,17,sedan,front_end,minor,forklift_required,salvage,8900,0.53,44,30,1,1,0,100,67,81.8,2025-01-04 12:44:00,2025-01-31 11:44:00
VEH000043,CLM000043,P037,YARD_HOU_01,2025-05-19,2025-05-31,2025-06-01,picked_up,Kia,Telluride,2023,3,SUV,mechanical,minor,runs_and_drives,salvage,8204,0.87,20,12,1,1,0,86,24,75.6,2025-05-19 13:14:00,2025-06-15 15:14:00
VEH000044,CLM000044,P006,YARD_HOU_01,2025-05-18,2025-06-26,2025-07-03,picked_up,Chevrolet,Malibu,2006,20,sedan,rear_end,moderate,runs_and_drives,clean,13815,0.59,41,39,1,0,1,100,29,92.8,2025-05-18 15:47:00,2025-05-21 22:47:00
VEH000045,CLM000045,P028,YARD_DAL_01,2025-07-15,2025-08-30,2025-09-03,picked_up,Honda,Pilot,2004,22,SUV,theft_recovery,total_loss,forklift_required,clean,2432,0.19,57,46,1,0,1,100,96,81.0,2025-07-15 09:24:00,2025-07-27 11:24:00
VEH000046,CLM000046,P011,YARD_AUS_01,2025-05-15,2025-06-23,,awaiting_sale,Nissan,Altima,2017,9,sedan,side,minor,non_running,salvage,11064,0.76,33,39,0,0,0,80,59,71.2,2025-05-15 13:18:00,2025-06-18 19:18:00
VEH000047,CLM000047,P031,YARD_AUS_01,2025-01-27,2025-03-03,,sold_pending_pickup,BMW,5 Series,2019,7,sedan,burn,total_loss,non_running,salvage,14712,0.72,39,35,1,0,1,100,78,87.9,2025-01-27 14:28:00,2025-03-05 14:28:00
VEH000048,CLM000048,P035,YARD_AUS_01,2025-05-27,,,listed,Honda,Civic,2026,0,sedan,theft_recovery,total_loss,non_running,clean,6741,0.64,22,,1,1,0,76,77,62.8,2025-05-27 15:55:00,2025-07-05 21:55:00
VEH000049,CLM000049,P003,YARD_AUS_01,2025-02-19,2025-04-04,2025-04-07,picked_up,Honda,CR-V,2022,4,SUV,side,total_loss,runs_and_drives,salvage,4435,0.69,38,44,1,1,0,90,46,77.1,2025-02-19 11:56:00,2025-03-19 16:56:00
VEH000050,CLM000050,P024,YARD_DAL_01,2025-07-05,2025-07-26,,sold_pending_pickup,Kia,Sorento,2021,5,SUV,side,moderate,runs_and_drives,rebuilt,8004,0.75,29,21,1,1,0,100,44,83.7,2025-07-05 12:33:00,2025-08-16 14:33:00
VEH000051,CLM000051,P037,YARD_HOU_01,2025-07-20,,,listed,Toyota,RAV4,2004,22,SUV,theft_recovery,total_loss,forklift_required,clean,500,0.15,79,,1,0,1,92,100,65.4,2025-07-20 11:25:00,2025-08-07 11:25:00
VEH000052,CLM000052,P032,YARD_OKC_01,2025-07-26,2025-09-04,2025-09-09,picked_up,Kia,Telluride,2017,9,SUV,flood,total_loss,runs_and_drives,salvage,7556,0.78,26,40,1,0,1,100,46,83.1,2025-07-26 17:20:00,2025-08-05 19:20:00
VEH000053,CLM000053,P025,YARD_AUS_01,2025-01-15,,,awaiting_sale,BMW,3 Series,2004,22,sedan,mechanical,minor,forklift_required,clean,500,0.22,67,,1,0,1,74,70,55.7,2025-01-15 10:53:00,2025-01-28 14:53:00
VEH000054,CLM000054,P035,YARD_DAL_01,2025-06-11,,,listed,Toyota,Camry,2016,10,sedan,hail,moderate,runs_and_drives,salvage,4274,0.59,16,,0,0,0,76,25,72.2,2025-06-11 17:12:00,2025-07-22 18:12:00
VEH000055,CLM000055,P003,YARD_AUS_01,2025-04-16,2025-06-15,,sold_pending_pickup,Chevrolet,Equinox,2012,14,SUV,front_end,moderate,non_running,salvage,5151,0.61,53,60,1,1,0,95,66,76.4,2025-04-16 11:38:00,2025-05-18 17:38:00
VEH000056,CLM000056,P038,YARD_DAL_01,2025-03-22,,,title_pending,Honda,Civic,2012,14,sedan,front_end,total_loss,non_running,salvage,500,0.44,56,,1,0,1,83,82,63.0,2025-03-22 14:45:00,2025-04-21 21:45:00
VEH000057,CLM000057,P039,YARD_OKC_01,2025-04-30,2025-06-04,2025-06-09,picked_up,Toyota,Corolla,2009,17,sedan,flood,minor,runs_and_drives,salvage,3140,0.63,38,35,1,0,1,95,23,76.9,2025-04-30 16:34:00,2025-06-07 15:34:00
VEH000058,CLM000058,P029,YARD_HOU_01,2025-01-27,,,title_pending,Nissan,Altima,2008,18,sedan,burn,moderate,runs_and_drives,missing_title,500,0.51,32,,0,0,0,100,33,84.8,2025-01-27 15:30:00,2025-02-28 22:30:00
VEH000059,CLM000059,P006,YARD_HOU_01,2025-02-13,,,title_pending,Ford,F-150,2009,17,pickup,flood,severe,forklift_required,salvage,1628,0.30,39,,1,1,0,100,92,81.4,2025-02-13 17:21:00,2025-02-28 22:21:00
VEH000060,CLM000060,P037,YARD_HOU_01,2025-05-31,2025-07-13,,sold_pending_pickup,Chevrolet,Silverado,2020,6,pickup,front_end,severe,runs_and_drives,clean,8315,0.90,41,43,1,0,1,84,35,72.5,2025-05-31 17:46:00,2025-07-01 16:46:00
VEH000061,CLM000061,P015,YARD_OKC_01,2025-06-11,,,listed,Chevrolet,Tahoe,2020,6,SUV,mechanical,minor,forklift_required,salvage,1945,0.59,38,,1,1,0,100,83,71.1,2025-06-11 14:20:00,2025-07-05 13:20:00
VEH000062,CLM000062,P031,YARD_OKC_01,2025-07-13,,,listed,Ford,Explorer,2016,10,SUV,hail,severe,non_running,rebuilt,4231,0.33,39,,1,0,1,100,81,87.3,2025-07-13 09:35:00,2025-08-21 16:35:00
VEH000063,CLM000063,P013,YARD_DAL_01,2025-03-06,,,listed,Honda,Accord,2005,21,sedan,burn,severe,forklift_required,rebuilt,1297,0.24,53,,1,1,0,100,90,76.1,2025-03-06 17:18:00,2025-04-16 00:18:00
VEH000064,CLM000064,P024,YARD_DAL_01,2025-05-20,2025-07-14,2025-07-22,picked_up,Ford,Explorer,2015,11,SUV,side,moderate,non_running,missing_title,6256,0.51,50,55,1,0,1,100,73,78.5,2025-05-20 15:28:00,2025-05-25 15:28:00
VEH000065,CLM000065,P028,YARD_OKC_01,2025-02-20,2025-04-23,2025-04-24,picked_up,Ram,ProMaster,2016,10,van,hail,severe,non_running,salvage,16409,0.63,55,62,1,0,1,100,84,83.2,2025-02-20 16:47:00,2025-03-04 18:47:00
VEH000066,CLM000066,P014,YARD_AUS_01,2025-03-29,2025-05-15,2025-05-21,picked_up,Toyota,RAV4,2016,10,SUV,side,moderate,non_running,salvage,500,0.39,39,47,1,1,0,100,66,66.7,2025-03-29 14:17:00,2025-05-08 17:17:00
VEH000067,CLM000067,P007,YARD_HOU_01,2025-06-25,,,title_pending,Honda,CR-V,2016,10,SUV,mechanical,moderate,forklift_required,salvage,500,0.44,41,,1,0,1,100,76,69.8,2025-06-25 14:11:00,2025-07-17 19:11:00
VEH000068,CLM000068,P006,YARD_HOU_01,2025-04-04,2025-04-27,2025-05-03,picked_up,Kia,Optima,2026,0,sedan,rear_end,moderate,forklift_required,salvage,14957,0.98,27,23,1,0,1,100,83,83.0,2025-04-04 09:41:00,2025-04-25 15:41:00
VEH000069,CLM000069,P031,YARD_AUS_01,2025-05-04,2025-06-30,,sold_pending_pickup,BMW,5 Series,2004,22,sedan,front_end,severe,runs_and_drives,rebuilt,18654,0.68,53,57,1,0,1,100,26,97.2,2025-05-04 11:03:00,2025-05-28 13:03:00
VEH000070,CLM000070,P015,YARD_DAL_01,2025-05-15,,,listed,Nissan,Rogue,2018,8,SUV,front_end,severe,runs_and_drives,clean,500,0.77,17,,1,0,1,100,30,80.7,2025-05-15 10:15:00,2025-06-24 13:15:00
VEH000071,CLM000071,P040,YARD_HOU_01,2025-07-07,,,awaiting_sale,Ford,Explorer,2006,20,SUV,front_end,moderate,non_running,salvage,8320,0.40,55,,1,1,0,100,69,82.5,2025-07-07 11:48:00,2025-08-10 18:48:00
VEH000072,CLM000072,P037,YARD_AUS_01,2025-07-13,2025-08-28,2025-09-05,picked_up,Kia,Optima,2008,18,sedan,theft_recovery,moderate,forklift_required,rebuilt,6224,0.50,51,46,1,1,0,65,80,53.3,2025-07-13 16:34:00,2025-08-15 20:34:00
VEH000073,CLM000073,P040,YARD_AUS_01,2025-07-27,2025-08-28,2025-09-02,picked_up,Nissan,Frontier,2015,11,pickup,mechanical,moderate,non_running,salvage,16995,0.86,32,32,1,0,1,100,64,83.4,2025-07-27 15:21:00,2025-08-11 17:21:00
VEH000074,CLM000074,P003,YARD_HOU_01,2025-01-26,2025-02-19,2025-02-26,picked_up,Honda,Civic,2014,12,sedan,burn,minor,runs_and_drives,salvage,9379,0.73,26,24,1,1,0,94,21,83.9,2025-01-26 13:19:00,2025-02-27 14:19:00
VEH000075,CLM000075,P022,YARD_HOU_01,2025-04-05,2025-05-01,,sold_pending_pickup,Kia,Sportage,2024,2,SUV,mechanical,severe,runs_and_drives,salvage,13543,0.98,21,26,1,1,0,100,37,86.5,2025-04-05 13:13:00,2025-04-12 14:13:00
VEH000076,CLM000076,P007,YARD_DAL_01,2025-03-09,2025-04-11,2025-04-14,picked_up,Honda,Accord,2023,3,sedan,front_end,severe,runs_and_drives,salvage,500,0.77,30,33,1,1,0,100,40,76.3,2025-03-09 16:10:00,2025-04-04 23:10:00
VEH000077,CLM000077,P028,YARD_OKC_01,2025-03-25,2025-05-02,2025-05-06,picked_up,Honda,Accord,2015,11,sedan,side,moderate,forklift_required,salvage,9551,0.71,31,38,1,1,0,100,72,85.3,2025-03-25 11:39:00,2025-04-20 10:39:00
VEH000078,CLM000078,P023,YARD_HOU_01,2025-01-08,2025-01-09,2025-01-13,picked_up,Ram,1500,2024,2,pickup,side,minor,non_running,clean,15558,0.78,10,1,1,1,0,100,37,83.9,2025-01-08 14:11:00,2025-01-19 14:11:00
VEH000079,CLM000079,P029,YARD_AUS_01,2025-03-23,2025-05-11,,sold_pending_pickup,Ford,Explorer,2011,15,SUV,hail,minor,forklift_required,salvage,10153,0.62,39,49,1,0,1,100,56,80.6,2025-03-23 17:19:00,2025-04-03 22:19:00
VEH000080,CLM000080,P013,YARD_DAL_01,2025-01-01,2025-02-21,2025-02-25,picked_up,Nissan,Rogue,2012,14,SUV,hail,total_loss,non_running,rebuilt,3870,0.54,61,51,1,1,0,100,87,76.7,2025-01-01 11:36:00,2025-02-09 17:36:00
VEH000081,CLM000081,P030,YARD_OKC_01,2025-01-26,2025-02-28,2025-03-01,picked_up,Ford,Escape,2019,7,SUV,mechanical,severe,runs_and_drives,pending_title,2392,0.77,35,33,1,1,0,100,48,87.1,2025-01-26 11:50:00,2025-02-12 18:50:00
VEH000082,CLM000082,P021,YARD_OKC_01,2025-07-12,2025-08-12,,awaiting_sale,Ram,3500,2025,1,heavy_vehicle,front_end,severe,forklift_required,salvage,9099,0.75,30,31,0,0,0,93,73,74.0,2025-07-12 09:12:00,2025-08-06 09:12:00
VEH000083,CLM000083,P035,YARD_AUS_01,2025-02-12,2025-03-26,,sold_pending_pickup,Ford,Mustang,2006,20,sedan,rear_end,severe,forklift_required,pending_title,500,0.36,46,42,1,0,1,80,69,66.6,2025-02-12 14:42:00,2025-03-24 16:42:00
VEH000084,CLM000084,P037,YARD_OKC_01,2025-06-25,2025-08-23,2025-08-25,picked_up,Ram,1500,2010,16,pickup,flood,moderate,non_running,clean,5407,0.52,56,59,1,0,1,73,71,59.6,2025-06-25 16:26:00,2025-07-20 21:26:00
VEH000085,CLM000085,P004,YARD_HOU_01,2025-07-06,2025-08-24,2025-08-27,picked_up,Toyota,Camry,2023,3,sedan,mechanical,moderate,non_running,salvage,17753,0.83,46,49,1,0,1,95,75,77.4,2025-07-06 12:02:00,2025-08-18 15:02:00
VEH000086,CLM000086,P031,YARD_DAL_01,2025-02-04,2025-04-16,,sold_pending_pickup,Honda,CR-V,2009,17,SUV,front_end,moderate,forklift_required,rebuilt,9111,0.39,71,71,1,1,0,100,88,86.1,2025-02-04 11:38:00,2025-03-21 15:38:00
VEH000087,CLM000087,P040,YARD_AUS_01,2025-02-28,2025-03-27,2025-04-03,picked_up,Kia,Sorento,2024,2,SUV,front_end,total_loss,non_running,salvage,9102,0.81,20,27,1,0,1,100,68,82.6,2025-02-28 16:07:00,2025-03-09 18:07:00
VEH000088,CLM000088,P035,YARD_AUS_01,2025-06-08,,,listed,Ford,Escape,2004,22,SUV,front_end,moderate,runs_and_drives,clean,3814,0.34,53,,0,0,0,81,49,70.7,2025-06-08 09:28:00,2025-07-16 08:28:00
VEH000089,CLM000089,P015,YARD_HOU_01,2025-07-01,2025-07-24,2025-07-31,picked_up,Honda,CR-V,2020,6,SUV,flood,total_loss,runs_and_drives,salvage,1739,0.55,28,23,1,1,0,100,50,77.1,2025-07-01 13:02:00,2025-08-07 19:02:00
VEH000090,CLM000090,P014,YARD_AUS_01,2025-07-27,2025-09-04,,sold_pending_pickup,Ford,Explorer,2018,8,SUV,hail,severe,runs_and_drives,salvage,500,0.63,31,39,1,0,1,88,50,62.6,2025-07-27 13:29:00,2025-07-30 15:29:00
VEH000091,CLM000091,P002,YARD_OKC_01,2025-04-25,2025-05-20,,awaiting_sale,Chevrolet,Silverado,2018,8,pickup,side,severe,runs_and_drives,clean,5763,0.67,38,25,0,0,0,95,45,80.7,2025-04-25 10:09:00,2025-05-17 09:09:00
VEH000092,CLM000092,P020,YARD_HOU_01,2025-05-06,2025-06-18,2025-06-21,picked_up,Toyota,Tacoma,2018,8,pickup,front_end,minor,non_running,salvage,14035,0.88,37,43,1,0,1,100,70,93.4,2025-05-06 13:12:00,2025-06-09 17:12:00
VEH000093,CLM000093,P019,YARD_OKC_01,2025-04-23,,,title_pending,BMW,X5,2004,22,SUV,front_end,moderate,runs_and_drives,pending_title,500,0.25,60,,1,0,1,93,42,74.0,2025-04-23 13:53:00,2025-05-31 13:53:00
VEH000094,CLM000094,P023,YARD_HOU_01,2025-04-25,,,awaiting_sale,Ram,1500,2005,21,pickup,front_end,moderate,runs_and_drives,clean,500,0.37,54,,0,0,0,100,43,82.9,2025-04-25 16:42:00,2025-06-06 19:42:00
VEH000095,CLM000095,P025,YARD_DAL_01,2025-06-03,,,listed,BMW,3 Series,2014,12,sedan,rear_end,total_loss,runs_and_drives,rebuilt,500,0.58,41,,1,0,1,89,46,68.7,2025-06-03 16:59:00,2025-06-18 16:59:00
VEH000096,CLM000096,P007,YARD_OKC_01,2025-05-27,2025-07-02,2025-07-05,picked_up,Ford,Mustang,2016,10,sedan,hail,severe,runs_and_drives,pending_title,500,0.62,40,36,1,0,1,100,30,78.1,2025-05-27 13:15:00,2025-07-11 20:15:00
VEH000097,CLM000097,P028,YARD_AUS_01,2025-04-28,2025-06-26,,sold_pending_pickup,Ford,Mustang,2004,22,sedan,front_end,severe,runs_and_drives,pending_title,500,0.36,57,59,1,0,1,100,50,89.3,2025-04-28 17:54:00,2025-06-10 20:54:00
VEH000098,CLM000098,P004,YARD_DAL_01,2025-04-24,2025-05-23,2025-05-28,picked_up,Chevrolet,Equinox,2025,1,SUV,mechanical,moderate,non_running,salvage,17839,0.87,32,29,1,1,0,100,63,82.5,2025-04-24 09:46:00,2025-05-27 08:46:00
VEH000099,CLM000099,P035,YARD_DAL_01,2025-05-10,,,awaiting_sale,Kia,Telluride,2013,13,SUV,hail,minor,runs_and_drives,pending_title,9925,0.70,58,,1,0,1,82,30,74.7,2025-05-10 14:28:00,2025-06-14 13:28:00
VEH000100,CLM000100,P015,YARD_AUS_01,2025-06-22,2025-08-13,2025-08-20,picked_up,Ram,1500,2009,17,pickup,mechanical,moderate,runs_and_drives,salvage,500,0.57,58,52,1,1,0,100,40,78.9,2025-06-22 13:50:00,2025-08-04 19:50:00
VEH000101,CLM000101,P028,YARD_DAL_01,2025-06-14,2025-07-27,,sold_pending_pickup,BMW,3 Series,2022,4,sedan,rear_end,severe,runs_and_drives,missing_title,8706,0.75,38,43,1,1,0,100,27,93.4,2025-06-14 12:11:00,2025-06-29 16:11:00
