storage_event_id,vehicle_id,partner_id,yard_id,arrival_date,release_date,days_in_yard,free_storage_days,billable_storage_days,daily_storage_rate,total_storage_fee,yard_cost_per_day,total_yard_cost,storage_margin,capacity_utilization_at_arrival,long_hold_flag,storage_billing_status
STG000066,VEH000066,P014,YARD_AUS_01,2025-03-29,2025-05-21,53,0,53,16,848,10,530,318,0.63,1,collected
STG000067,VEH000067,P007,YARD_HOU_01,2025-06-25,,14,3,11,21,231,13,182,49,0.57,0,waived
STG000068,VEH000068,P006,YARD_HOU_01,2025-04-04,2025-05-03,29,5,24,32,768,14,406,362,1.02,0,collected
STG000069,VEH000069,P031,YARD_AUS_01,2025-05-04,,76,14,62,35,2170,6,456,1714,0.84,1,disputed
STG000070,VEH000070,P015,YARD_DAL_01,2025-05-15,,46,3,43,25,1075,8,368,707,0.60,1,billable
STG000071,VEH000071,P040,YARD_HOU_01,2025-07-07,,20,7,13,30,390,11,220,170,0.66,0,collected
STG000072,VEH000072,P037,YARD_AUS_01,2025-07-13,2025-09-05,54,3,51,22,1122,14,756,366,0.88,1,collected
STG000073,VEH000073,P040,YARD_AUS_01,2025-07-27,2025-09-02,37,7,30,30,900,14,518,382,0.94,1,collected
STG000074,VEH000074,P003,YARD_HOU_01,2025-01-26,2025-02-26,31,7,24,26,624,7,217,407,0.81,0,collected
STG000075,VEH000075,P022,YARD_HOU_01,2025-04-05,,43,14,29,29,841,10,430,411,1.02,1,billable
STG000076,VEH000076,P007,YARD_DAL_01,2025-03-09,2025-04-14,36,3,33,21,693,9,324,369,0.98,1,collected
STG000077,VEH000077,P028,YARD_OKC_01,2025-03-25,2025-05-06,42,0,42,33,1386,13,546,840,0.71,1,collected
STG000078,VEH000078,P023,YARD_HOU_01,2025-01-08,2025-01-13,5,7,0,26,0,10,50,-50,1.15,0,collected
STG000079,VEH000079,P029,YARD_AUS_01,2025-03-23,,17,3,14,27,378,11,187,191,0.86,0,billable
STG000080,VEH000080,P013,YARD_DAL_01,2025-01-01,2025-02-25,55,0,55,28,1540,19,1045,495,0.88,1,collected
STG000081,VEH000081,P030,YARD_OKC_01,2025-01-26,2025-03-01,34,0,34,30,1020,12,408,612,0.88,0,collected
STG000082,VEH000082,P021,YARD_OKC_01,2025-07-12,,10,7,3,25,75,13,130,-55,0.93,0,billable
STG000083,VEH000083,P035,YARD_AUS_01,2025-02-12,,29,3,26,25,650,17,493,157,0.67,0,billable
STG000084,VEH000084,P037,YARD_OKC_01,2025-06-25,2025-08-25,61,3,58,22,1276,15,915,361,0.85,1,collected
STG000085,VEH000085,P004,YARD_HOU_01,2025-07-06,2025-08-27,52,0,52,28,1456,14,728,728,0.63,1,collected
STG000086,VEH000086,P031,YARD_DAL_01,2025-02-04,,47,14,33,35,1155,15,705,450,0.56,1,disputed
STG000087,VEH000087,P040,YARD_AUS_01,2025-02-28,2025-04-03,34,7,27,30,810,13,442,368,0.71,0,collected
STG000088,VEH000088,P035,YARD_AUS_01,2025-06-08,,70,3,67,25,1675,10,700,975,0.61,1,not_billable
STG000089,VEH000089,P015,YARD_HOU_01,2025-07-01,2025-07-31,30,3,27,25,675,9,270,405,1.03,0,collected
STG000090,VEH000090,P014,YARD_AUS_01,2025-07-27,,70,0,70,16,1120,11,770,350,0.86,1,billable
STG000091,VEH000091,P002,YARD_OKC_01,2025-04-25,,60,3,57,26,1482,11,660,822,0.81,1,not_billable
STG000092,VEH000092,P020,YARD_HOU_01,2025-05-06,2025-06-21,46,0,46,39,1794,13,598,1196,0.83,1,collected
STG000093,VEH000093,P019,YARD_OKC_01,2025-04-23,,72,7,65,21,1365,11,792,573,0.48,1,billable
STG000094,VEH000094,P023,YARD_HOU_01,2025-04-25,,42,7,35,26,910,11,462,448,0.72,1,collected
STG000095,VEH000095,P025,YARD_DAL_01,2025-06-03,,58,0,58,18,1044,7,406,638,1.05,1,collected
STG000096,VEH000096,P007,YARD_OKC_01,2025-05-27,2025-07-05,39,3,36,21,756,6,234,522,0.77,1,collected
STG000097,VEH000097,P028,YARD_AUS_01,2025-04-28,,70,0,70,33,2310,12,840,1470,1.05,1,billable
STG000098,VEH000098,P004,YARD_DAL_01,2025-04-24,2025-05-28,34,0,34,28,952,15,510,442,0.93,0,collected
STG000099,VEH000099,P035,YARD_DAL_01,2025-05-10,,58,3,55,25,1375,7,406,969,0.98,1,billable
STG000100,VEH000100,P015,YARD_AUS_01,2025-06-22,2025-08-20,59,3,56,25,1400,10,590,810,0.73,1,collected
STG000101,VEH000101,P028,YARD_DAL_01,2025-06-14,,49,0,49,33,1617,7,343,1274,0.65,1,collected
STG000102,VEH000102,P028,YARD_AUS_01,2025-06-06,2025-07-18,42,0,42,33,1386,15,630,756,0.72,1,collected
STG000103,VEH000103,P005,YARD_AUS_01,2025-07-22,,108,3,105,35,3675,11,1188,2487,0.58,1,waived
STG000104,VEH000104,P040,YARD_OKC_01,2025-07-13,,60,7,53,30,1590,10,600,990,0.79,1,collected
STG000105,VEH000105,P028,YARD_DAL_01,2025-06-29,2025-08-14,46,0,46,33,1518,11,506,1012,0.88,1,collected
STG000106,VEH000106,P028,YARD_HOU_01,2025-06-29,,79,0,79,33,2607,13,1027,1580,0.73,1,billable
STG000107,VEH000107,P019,YARD_HOU_01,2025-03-09,,72,7,65,21,1365,14,1008,357,0.41,1,collected
STG000108,VEH000108,P028,YARD_OKC_01,2025-07-04,,42,0,42,33,1386,13,546,840,0.86,1,billable
STG000109,VEH000109,P014,YARD_DAL_01,2025-07-01,,15,0,15,16,240,13,195,45,0.64,0,billable
STG000110,VEH000110,P003,YARD_AUS_01,2025-06-07,2025-07-18,41,7,34,26,884,11,451,433,0.82,1,collected
STG000111,VEH000111,P030,YARD_AUS_01,2025-04-14,,31,0,31,30,930,12,372,558,1.15,0,billable
STG000112,VEH000112,P004,YARD_AUS_01,2025-05-03,,59,0,59,28,1652,9,531,1121,0.83,1,collected
STG000113,VEH000113,P007,YARD_DAL_01,2025-05-31,2025-07-05,35,3,32,21,672,13,455,217,0.80,0,collected
STG000114,VEH000114,P019,YARD_OKC_01,2025-02-28,,27,7,20,21,420,10,270,150,0.71,0,billable
STG000115,VEH000115,P014,YARD_HOU_01,2025-03-10,,26,0,26,16,416,11,286,130,1.00,0,billable
STG000116,VEH000116,P035,YARD_DAL_01,2025-07-28,,50,3,47,25,1175,12,600,575,0.75,1,disputed
STG000117,VEH000117,P021,YARD_DAL_01,2025-03-05,2025-03-19,14,7,7,25,175,10,140,35,1.05,0,collected
STG000118,VEH000118,P035,YARD_AUS_01,2025-05-02,,33,3,30,25,750,14,462,288,0.77,0,collected
STG000119,VEH000119,P011,YARD_AUS_01,2025-01-28,,75,7,68,27,1836,17,1275,561,1.13,1,billable
STG000120,VEH000120,P005,YARD_OKC_01,2025-03-22,,41,3,38,35,1330,13,533,797,1.11,1,billable
STG000121,VEH000121,P035,YARD_OKC_01,2025-01-29,,29,3,26,25,650,12,348,302,0.98,0,not_billable
STG000122,VEH000122,P040,YARD_DAL_01,2025-01-30,,60,7,53,30,1590,9,540,1050,1.06,1,billable
STG000123,VEH000123,P028,YARD_DAL_01,2025-01-22,2025-03-01,38,0,38,33,1254,11,418,836,0.92,1,collected
STG000124,VEH000124,P037,YARD_AUS_01,2025-07-10,,76,3,73,22,1606,9,684,922,0.68,1,collected
STG000125,VEH000125,P015,YARD_DAL_01,2025-04-25,,52,3,49,25,1225,16,832,393,0.68,1,collected
STG000126,VEH000126,P014,YARD_HOU_01,2025-03-01,,30,0,30,16,480,7,210,270,0.75,0,billable
STG000127,VEH000127,P031,YARD_DAL_01,2025-01-23,,55,14,41,35,1435,6,330,1105,1.01,1,disputed
STG000128,VEH000128,P025,YARD_HOU_01,2025-03-27,,35,0,35,18,630,11,385,245,0.79,0,billable
STG000129,VEH000129,P021,YARD_OKC_01,2025-02-11,,106,7,99,25,2475,16,1696,779,0.68,1,collected
STG000130,VEH000130,P013,YARD_HOU_01,2025-04-04,,58,0,58,28,1624,17,986,638,0.89,1,billable
STG000131,VEH000131,P013,YARD_DAL_01,2025-03-13,,76,0,76,28,2128,16,1216,912,0.91,1,waived
STG000132,VEH000132,P028,YARD_OKC_01,2025-05-24,2025-07-30,67,0,67,33,2211,18,1206,1005,0.90,1,collected
STG000133,VEH000133,P014,YARD_OKC_01,2025-03-22,,59,0,59,16,944,16,944,0,0.42,1,billable
STG000134,VEH000134,P024,YARD_AUS_01,2025-03-07,,33,0,33,29,957,11,363,594,0.56,0,billable
STG000135,VEH000135,P040,YARD_HOU_01,2025-02-16,,82,7,75,30,2250,9,738,1512,0.66,1,billable
STG000136,VEH000136,P012,YARD_HOU_01,2025-03-06,2025-03-10,4,3,1,25,25,10,40,-15,0.80,0,collected
STG000137,VEH000137,P038,YARD_AUS_01,2025-04-04,2025-05-15,41,5,36,22,792,9,369,423,0.81,1,collected
STG000138,VEH000138,P003,YARD_AUS_01,2025-03-17,2025-05-04,48,7,41,26,1066,13,624,442,0.87,1,collected
STG000139,VEH000139,P038,YARD_AUS_01,2025-01-16,,25,5,20,22,440,4,100,340,0.98,0,waived
STG000140,VEH000140,P014,YARD_HOU_01,2025-04-29,,7,0,7,16,112,13,91,21,0.88,0,collected
STG000141,VEH000141,P028,YARD_DAL_01,2025-02-02,,51,0,51,33,1683,13,663,1020,0.87,1,waived
STG000142,VEH000142,P013,YARD_DAL_01,2025-04-10,,65,0,65,28,1820,14,910,910,0.99,1,collected
STG000143,VEH000143,P028,YARD_OKC_01,2025-07-03,,61,0,61,33,2013,13,793,1220,0.70,1,billable
STG000144,VEH000144,P015,YARD_OKC_01,2025-02-17,2025-04-21,63,3,60,25,1500,9,567,933,0.91,1,collected
STG000145,VEH000145,P008,YARD_HOU_01,2025-07-15,,51,0,51,21,1071,10,510,561,0.80,1,billable
STG000146,VEH000146,P015,YARD_OKC_01,2025-05-20,,32,3,29,25,725,13,416,309,0.68,0,billable
STG000147,VEH000147,P014,YARD_OKC_01,2025-04-29,,65,0,65,16,1040,8,520,520,0.73,1,waived
STG000148,VEH000148,P010,YARD_DAL_01,2025-05-27,2025-07-06,40,14,26,40,1040,12,480,560,0.86,1,collected
STG000149,VEH000149,P023,YARD_DAL_01,2025-05-03,2025-05-18,15,7,8,26,208,7,105,103,1.06,0,collected
STG000150,VEH000150,P037,YARD_OKC_01,2025-05-22,,7,3,4,22,88,8,56,32,0.93,0,collected
STG000151,VEH000151,P011,YARD_AUS_01,2025-07-01,,86,7,79,27,2133,17,1462,671,0.93,1,billable
STG000152,VEH000152,P040,YARD_AUS_01,2025-07-14,2025-09-09,57,7,50,30,1500,10,570,930,0.64,1,collected
STG000153,VEH000153,P039,YARD_OKC_01,2025-06-24,,59,0,59,19,1121,14,826,295,0.75,1,billable
STG000154,VEH000154,P008,YARD_DAL_01,2025-05-09,,46,0,46,21,966,3,138,828,0.81,1,collected
STG000155,VEH000155,P010,YARD_OKC_01,2025-04-21,2025-04-29,8,14,0,40,0,6,48,-48,0.77,0,collected
STG000156,VEH000156,P014,YARD_OKC_01,2025-02-05,,50,0,50,16,800,8,400,400,1.11,1,billable
STG000157,VEH000157,P028,YARD_DAL_01,2025-02-21,,1,0,1,33,33,4,4,29,0.96,0,billable
STG000158,VEH000158,P037,YARD_DAL_01,2025-05-08,,61,3,58,22,1276,15,915,361,1.11,1,billable
STG000159,VEH000159,P022,YARD_OKC_01,2025-07-18,,12,14,0,29,0,17,204,-204,0.62,0,billable
STG000160,VEH000160,P014,YARD_AUS_01,2025-07-21,2025-08-29,39,0,39,16,624,13,507,117,0.92,1,collected
STG000161,VEH000161,P019,YARD_AUS_01,2025-05-20,,24,7,17,21,357,11,264,93,0.70,0,not_billable
STG000162,VEH000162,P008,YARD_DAL_01,2025-05-16,2025-06-22,37,0,37,21,777,9,333,444,0.86,1,collected
STG000163,VEH000163,P035,YARD_AUS_01,2025-06-15,,44,3,41,25,1025,19,836,189,0.64,1,not_billable
STG000164,VEH000164,P020,YARD_HOU_01,2025-07-28,,29,0,29,39,1131,10,290,841,0.83,0,billable
STG000165,VEH000165,P003,YARD_HOU_01,2025-07-22,,95,7,88,26,2288,13,1235,1053,0.56,1,billable
STG000166,VEH000166,P040,YARD_DAL_01,2025-06-11,2025-07-24,43,7,36,30,1080,13,559,521,0.80,1,collected
STG000167,VEH000167,P037,YARD_HOU_01,2025-06-26,2025-08-13,48,3,45,22,990,10,480,510,0.95,1,collected
STG000168,VEH000168,P023,YARD_OKC_01,2025-02-09,,50,7,43,26,1118,13,650,468,0.85,1,waived
STG000169,VEH000169,P027,YARD_HOU_01,2025-03-09,2025-04-30,52,3,49,24,1176,16,832,344,1.02,1,collected
STG000170,VEH000170,P028,YARD_AUS_01,2025-04-01,,44,0,44,33,1452,18,792,660,0.91,1,collected
STG000171,VEH000171,P028,YARD_OKC_01,2025-03-22,,69,0,69,33,2277,14,966,1311,0.79,1,collected
STG000172,VEH000172,P037,YARD_DAL_01,2025-07-07,2025-09-05,60,3,57,22,1254,17,1020,234,0.87,1,collected
STG000173,VEH000173,P014,YARD_OKC_01,2025-02-24,,13,0,13,16,208,13,169,39,0.68,0,collected
STG000174,VEH000174,P002,YARD_HOU_01,2025-07-12,,46,3,43,26,1118,15,690,428,0.70,1,collected
STG000175,VEH000175,P024,YARD_OKC_01,2025-04-28,,44,0,44,29,1276,9,396,880,1.15,1,billable
STG000176,VEH000176,P010,YARD_HOU_01,2025-03-01,,60,14,46,40,1840,11,660,1180,0.71,1,waived
STG000177,VEH000177,P040,YARD_OKC_01,2025-05-27,,29,7,22,30,660,8,232,428,0.89,0,collected
STG000178,VEH000178,P037,YARD_OKC_01,2025-06-07,2025-07-24,47,3,44,22,968,6,282,686,0.80,1,collected
STG000179,VEH000179,P028,YARD_OKC_01,2025-05-15,2025-06-18,34,0,34,33,1122,8,272,850,0.88,0,collected
STG000180,VEH000180,P013,YARD_AUS_01,2025-03-04,,44,0,44,28,1232,11,484,748,0.79,1,billable
STG000181,VEH000181,P002,YARD_HOU_01,2025-05-14,,76,3,73,26,1898,8,608,1290,0.90,1,billable
STG000182,VEH000182,P028,YARD_DAL_01,2025-07-19,2025-08-28,40,0,40,33,1320,17,680,640,1.02,1,collected
STG000183,VEH000183,P005,YARD_HOU_01,2025-06-30,2025-08-19,50,3,47,35,1645,7,350,1295,0.79,1,collected
STG000184,VEH000184,P039,YARD_AUS_01,2025-02-16,,29,0,29,19,551,10,290,261,0.65,0,waived
STG000185,VEH000185,P007,YARD_OKC_01,2025-04-12,,42,3,39,21,819,8,336,483,0.51,1,disputed
STG000186,VEH000186,P015,YARD_DAL_01,2025-02-28,2025-04-04,35,3,32,25,800,12,420,380,0.95,0,collected
STG000187,VEH000187,P015,YARD_AUS_01,2025-02-04,,82,3,79,25,1975,20,1640,335,0.73,1,collected
STG000188,VEH000188,P007,YARD_OKC_01,2025-06-06,,81,3,78,21,1638,9,729,909,1.09,1,billable
STG000189,VEH000189,P008,YARD_DAL_01,2025-03-17,,51,0,51,21,1071,14,714,357,1.15,1,billable
STG000190,VEH000190,P019,YARD_HOU_01,2025-01-27,,39,7,32,21,672,9,351,321,0.73,1,disputed
STG000191,VEH000191,P038,YARD_DAL_01,2025-02-09,2025-04-02,52,5,47,22,1034,13,676,358,0.69,1,collected
STG000192,VEH000192,P040,YARD_OKC_01,2025-03-02,,55,7,48,30,1440,15,825,615,0.80,1,billable
STG000193,VEH000193,P037,YARD_OKC_01,2025-07-15,,1,3,0,22,0,7,7,-7,1.03,0,collected
STG000194,VEH000194,P024,YARD_HOU_01,2025-02-19,,54,0,54,29,1566,11,594,972,0.85,1,billable
STG000195,VEH000195,P014,YARD_DAL_01,2025-06-25,,9,0,9,16,144,12,108,36,0.86,0,billable
STG000196,VEH000196,P022,YARD_HOU_01,2025-02-13,,41,14,27,29,783,16,656,127,0.83,1,billable
STG000197,VEH000197,P035,YARD_HOU_01,2025-06-01,2025-07-10,39,3,36,25,900,14,546,354,1.15,1,collected
STG000198,VEH000198,P028,YARD_HOU_01,2025-02-27,,62,0,62,33,2046,10,620,1426,0.77,1,collected
STG000199,VEH000199,P003,YARD_DAL_01,2025-04-22,,39,7,32,26,832,4,156,676,0.84,1,waived
STG000200,VEH000200,P031,YARD_DAL_01,2025-05-09,,65,14,51,35,1785,17,1105,680,0.79,1,not_billable
STG000201,VEH000201,P013,YARD_OKC_01,2025-02-16,2025-03-13,25,0,25,28,700,5,125,575,1.04,0,collected
STG000202,VEH000202,P038,YARD_DAL_01,2025-06-28,2025-08-05,38,5,33,22,726,9,342,384,0.76,1,collected
STG000203,VEH000203,P028,YARD_DAL_01,2025-03-04,2025-04-18,45,0,45,33,1485,11,495,990,0.76,1,collected
STG000204,VEH000204,P028,YARD_DAL_01,2025-05-09,,17,0,17,33,561,13,221,340,0.65,0,waived
STG000205,VEH000205,P037,YARD_DAL_01,2025-01-28,,52,3,49,22,1078,13,676,402,0.86,1,collected
STG000206,VEH000206,P004,YARD_HOU_01,2025-05-04,,51,0,51,28,1428,9,459,969,0.71,1,billable
STG000207,VEH000207,P023,YARD_AUS_01,2025-05-17,,56,7,49,26,1274,18,1008,266,0.74,1,waived
STG000208,VEH000208,P028,YARD_OKC_01,2025-02-11,2025-03-02,19,0,19,33,627,12,228,399,0.79,0,collected
STG000209,VEH000209,P025,YARD_DAL_01,2025-05-24,,54,0,54,18,972,9,486,486,0.67,1,collected
STG000210,VEH000210,P028,YARD_AUS_01,2025-06-11,2025-07-13,32,0,32,33,1056,10,320,736,0.82,0,collected
STG000211,VEH000211,P033,YARD_HOU_01,2025-01-16,,31,0,31,30,930,13,403,527,0.89,0,collected
STG000212,VEH000212,P001,YARD_HOU_01,2025-04-17,,45,0,45,24,1080,15,675,405,0.77,1,waived
STG000213,VEH000213,P028,YARD_OKC_01,2025-05-25,,53,0,53,33,1749,10,530,1219,0.69,1,billable
STG000214,VEH000214,P024,YARD_OKC_01,2025-03-01,,38,0,38,29,1102,11,418,684,0.87,1,collected
STG000215,VEH000215,P040,YARD_OKC_01,2025-04-19,,73,7,66,30,1980,14,1022,958,0.62,1,billable
STG000216,VEH000216,P017,YARD_DAL_01,2025-07-30,,15,7,8,23,184,10,150,34,0.68,0,billable
STG000217,VEH000217,P029,YARD_HOU_01,2025-07-03,2025-07-16,13,3,10,27,270,7,91,179,1.15,0,collected
STG000218,VEH000218,P026,YARD_AUS_01,2025-05-06,2025-06-30,55,0,55,21,1155,8,440,715,0.75,1,collected
STG000219,VEH000219,P014,YARD_DAL_01,2025-07-07,,73,0,73,16,1168,17,1241,-73,1.15,1,billable
STG000220,VEH000220,P007,YARD_AUS_01,2025-06-14,2025-07-28,44,3,41,21,861,6,264,597,0.68,1,collected
STG000221,VEH000221,P014,YARD_HOU_01,2025-06-19,,40,0,40,16,640,12,480,160,0.69,1,billable
STG000222,VEH000222,P023,YARD_DAL_01,2025-05-31,2025-07-25,55,7,48,26,1248,15,825,423,1.09,1,collected
STG000223,VEH000223,P040,YARD_AUS_01,2025-03-29,2025-04-20,22,7,15,30,450,14,308,142,0.54,0,collected
STG000224,VEH000224,P015,YARD_AUS_01,2025-05-13,2025-06-10,28,3,25,25,625,7,196,429,1.15,0,collected
STG000225,VEH000225,P023,YARD_OKC_01,2025-04-19,,51,7,44,26,1144,13,663,481,0.59,1,billable
STG000226,VEH000226,P029,YARD_DAL_01,2025-05-28,,66,3,63,27,1701,11,726,975,0.94,1,billable
STG000227,VEH000227,P035,YARD_OKC_01,2025-07-10,,57,3,54,25,1350,11,627,723,0.81,1,not_billable
STG000228,VEH000228,P007,YARD_OKC_01,2025-03-22,2025-05-06,45,3,42,21,882,7,315,567,0.94,1,collected
