location_event_id,vehicle_id,yard_id,assigned_zone_id,assigned_row_id,assigned_slot_id,assignment_date,relocation_count,relocated_flag,current_location_flag,initial_priority_score,final_priority_score,allocation_strategy,assigned_by,assignment_reason
LOC000028,VEH000028,YARD_HOU_01,FA,FA17,FA17-014,2025-01-31 06:51:00,0,0,1,90.4,90.4,priority_based,simulation,special_equipment
LOC000029,VEH000029,YARD_DAL_01,B,B07,B07-014,2025-01-28 05:43:00,0,0,1,88.4,88.4,first_available,yard_manager,special_equipment
LOC000030,VEH000030,YARD_HOU_01,A,A02,A02-012,2025-03-17 08:02:00,0,0,1,54.7,54.7,priority_based,system,special_equipment
LOC000031,VEH000031,YARD_HOU_01,NR,NR16,NR16-016,2025-05-11 02:24:00,0,0,1,58.5,58.5,first_available,system,overflow_capacity
LOC000032,VEH000032,YARD_HOU_01,B,B19,B19-015,2025-05-20 07:57:00,0,0,1,87.2,87.2,priority_based,yard_manager,standard_storage
LOC000033,VEH000033,YARD_DAL_01,FA,FA11,FA11-003,2025-06-15 02:28:00,0,0,1,88.8,88.8,priority_based,system,standard_storage
LOC000034,VEH000034,YARD_DAL_01,A,A19,A19-021,2025-07-15 05:49:00,0,0,1,79.4,79.4,priority_based,simulation,high_priority
LOC000035,VEH000035,YARD_DAL_01,FA,FA08,FA08-022,2025-07-24 06:53:00,0,0,1,85.9,85.9,priority_based,system,high_priority
LOC000036,VEH000036,YARD_DAL_01,A,A05,A05-007,2025-05-15 05:03:00,0,0,1,78.5,78.5,priority_based,system,special_equipment
LOC000037,VEH000037,YARD_AUS_01,OF,OF18,OF18-006,2025-02-06 07:00:00,0,0,1,86.6,86.6,first_available,simulation,high_priority
LOC000038,VEH000038,YARD_OKC_01,B,B08,B08-017,2025-02-10 01:44:00,0,0,1,73.5,73.5,optimized,simulation,standard_storage
LOC000039,VEH000039,YARD_HOU_01,A,A03,A03-008,2025-01-06 03:55:00,0,0,1,82.1,82.1,optimized,simulation,high_priority
LOC000040,VEH000040,YARD_HOU_01,NR,NR12,NR12-004,2025-04-01 02:53:00,0,0,1,80.3,80.3,first_available,system,standard_storage
LOC000041,VEH000041,YARD_OKC_01,LTH,LTH03,LTH03-006,2025-01-11 01:17:00,0,0,1,85.8,85.8,first_available,yard_manager,high_priority
LOC000042,VEH000042,YARD_OKC_01,B,B13,B13-025,2025-01-04 07:47:00,0,0,1,81.8,81.8,optimized,yard_manager,long_term_hold
LOC000043,VEH000043,YARD_HOU_01,A,A03,A03-008,2025-05-19 05:31:00,0,0,1,75.6,75.6,first_available,system,high_priority
LOC000044,VEH000044,YARD_HOU_01,FA,FA09,FA09-004,2025-05-18 08:45:00,0,0,1,92.8,92.8,priority_based,system,special_equipment
LOC000045,VEH000045,YARD_DAL_01,B,B10,B10-009,2025-07-15 08:00:00,0,0,1,81.0,81.0,priority_based,simulation,high_priority
LOC000046,VEH000046,YARD_AUS_01,NR,NR08,NR08-006,2025-05-15 05:49:00,0,0,1,71.2,71.2,priority_based,simulation,special_equipment
LOC000047,VEH000047,YARD_AUS_01,FA,FA18,FA18-017,2025-01-27 04:17:00,0,0,1,87.9,87.9,priority_based,simulation,standard_storage
LOC000048,VEH000048,YARD_AUS_01,A,A09,A09-005,2025-05-27 01:31:00,0,0,1,62.8,62.8,priority_based,simulation,special_equipment
LOC000049,VEH000049,YARD_AUS_01,FA,FA12,FA12-006,2025-02-19 03:30:00,0,0,1,77.1,77.1,priority_based,yard_manager,long_term_hold
LOC000050,VEH000050,YARD_DAL_01,B,B13,B13-004,2025-07-05 07:49:00,0,0,1,83.7,83.7,priority_based,simulation,overflow_capacity
LOC000051,VEH000051,YARD_HOU_01,A,A06,A06-003,2025-07-20 05:11:00,0,0,1,65.4,65.4,optimized,simulation,special_equipment
LOC000052,VEH000052,YARD_OKC_01,A,A20,A20-003,2025-07-26 06:05:00,0,0,1,83.1,83.1,first_available,simulation,standard_storage
LOC000053,VEH000053,YARD_AUS_01,B,B19,B19-008,2025-01-15 06:18:00,0,0,1,55.7,55.7,first_available,yard_manager,high_priority
LOC000054,VEH000054,YARD_DAL_01,B,B14,B14-014,2025-06-11 08:40:00,0,0,1,72.2,72.2,optimized,system,overflow_capacity
LOC000055,VEH000055,YARD_AUS_01,NR,NR09,NR09-009,2025-04-16 08:37:00,0,0,1,76.4,76.4,first_available,yard_manager,overflow_capacity
LOC000056,VEH000056,YARD_DAL_01,B,B03,B03-016,2025-03-22 04:12:00,0,0,1,63.0,63.0,optimized,simulation,overflow_capacity
LOC000057,VEH000057,YARD_OKC_01,OF,OF03,OF03-010,2025-04-30 03:44:00,0,0,1,76.9,76.9,first_available,yard_manager,standard_storage
LOC000058,VEH000058,YARD_HOU_01,A,A13,A13-024,2025-01-27 01:47:00,0,0,1,84.8,84.8,priority_based,system,high_priority
LOC000059,VEH000059,YARD_HOU_01,A,A14,A14-013,2025-02-13 01:54:00,0,0,1,81.4,81.4,priority_based,system,overflow_capacity
LOC000060,VEH000060,YARD_HOU_01,A,A20,A20-010,2025-05-31 04:28:00,0,0,1,72.5,72.5,optimized,yard_manager,high_priority
LOC000061,VEH000061,YARD_OKC_01,FA,FA01,FA01-008,2025-06-11 01:46:00,0,0,1,71.1,71.1,optimized,yard_manager,high_priority
LOC000062,VEH000062,YARD_OKC_01,B,B14,B14-014,2025-07-13 07:08:00,0,0,1,87.3,87.3,priority_based,system,high_priority
LOC000063,VEH000063,YARD_DAL_01,FA,FA14,FA14-005,2025-03-06 03:59:00,0,0,1,76.1,76.1,priority_based,yard_manager,overflow_capacity
LOC000064,VEH000064,YARD_DAL_01,A,A08,A08-009,2025-05-20 03:33:00,0,0,1,78.5,78.5,priority_based,simulation,long_term_hold
LOC000065,VEH000065,YARD_OKC_01,A,A13,A13-010,2025-02-20 03:10:00,0,0,1,83.2,83.2,priority_based,yard_manager,special_equipment
LOC000066,VEH000066,YARD_AUS_01,NR,NR17,NR17-012,2025-03-29 02:01:00,0,0,1,66.7,66.7,first_available,system,standard_storage
LOC000067,VEH000067,YARD_HOU_01,A,A04,A04-018,2025-06-25 04:27:00,0,0,1,69.8,69.8,optimized,system,standard_storage
LOC000068,VEH000068,YARD_HOU_01,B,B20,B20-011,2025-04-04 01:21:00,0,0,1,83.0,83.0,first_available,system,long_term_hold
LOC000069,VEH000069,YARD_AUS_01,B,B03,B03-009,2025-05-04 06:31:00,0,0,1,97.2,97.2,priority_based,yard_manager,special_equipment
LOC000070,VEH000070,YARD_DAL_01,B,B06,B06-018,2025-05-15 06:47:00,0,0,1,80.7,80.7,optimized,system,high_priority
LOC000071,VEH000071,YARD_HOU_01,A,A06,A06-010,2025-07-07 07:18:00,0,0,1,82.5,82.5,priority_based,system,overflow_capacity
LOC000072,VEH000072,YARD_AUS_01,B,B01,B01-003,2025-07-13 04:39:00,0,0,1,53.3,53.3,priority_based,yard_manager,overflow_capacity
LOC000073,VEH000073,YARD_AUS_01,B,B08,B08-010,2025-07-27 02:19:00,0,0,1,83.4,83.4,priority_based,yard_manager,high_priority
LOC000074,VEH000074,YARD_HOU_01,OF,OF17,OF17-024,2025-01-26 07:56:00,0,0,1,83.9,83.9,random,system,high_priority
LOC000075,VEH000075,YARD_HOU_01,FA,FA04,FA04-003,2025-04-05 07:02:00,0,0,1,86.5,86.5,optimized,system,long_term_hold
LOC000076,VEH000076,YARD_DAL_01,FA,FA19,FA19-020,2025-03-09 05:04:00,0,0,1,76.3,76.3,optimized,system,long_term_hold
LOC000077,VEH000077,YARD_OKC_01,FA,FA09,FA09-018,2025-03-25 06:07:00,0,0,1,85.3,85.3,optimized,system,long_term_hold
LOC000078,VEH000078,YARD_HOU_01,NR,NR15,NR15-013,2025-01-08 01:02:00,0,0,1,83.9,83.9,first_available,yard_manager,long_term_hold
LOC000079,VEH000079,YARD_AUS_01,FA,FA04,FA04-017,2025-03-23 01:18:00,0,0,1,80.6,80.6,optimized,yard_manager,high_priority
LOC000080,VEH000080,YARD_DAL_01,A,A01,A01-002,2025-01-01 03:06:00,0,0,1,76.7,76.7,priority_based,simulation,standard_storage
LOC000081,VEH000081,YARD_OKC_01,B,B17,B17-009,2025-01-26 06:55:00,0,0,1,87.1,87.1,first_available,yard_manager,special_equipment
LOC000082,VEH000082,YARD_OKC_01,HV,HV15,HV15-019,2025-07-12 06:58:00,0,0,1,74.0,74.0,priority_based,system,special_equipment
LOC000083,VEH000083,YARD_AUS_01,B,B01,B01-017,2025-02-12 01:50:00,0,0,1,66.6,66.6,priority_based,system,long_term_hold
LOC000084,VEH000084,YARD_OKC_01,NR,NR08,NR08-006,2025-06-25 06:47:00,0,0,1,59.6,59.6,random,system,long_term_hold
LOC000085,VEH000085,YARD_HOU_01,FA,FA07,FA07-012,2025-07-06 01:35:00,0,0,1,77.4,77.4,optimized,system,overflow_capacity
LOC000086,VEH000086,YARD_DAL_01,B,B08,B08-017,2025-02-04 02:12:00,0,0,1,86.1,86.1,optimized,system,high_priority
LOC000087,VEH000087,YARD_AUS_01,A,A17,A17-022,2025-02-28 02:00:00,0,0,1,82.6,82.6,first_available,yard_manager,special_equipment
LOC000088,VEH000088,YARD_AUS_01,FA,FA14,FA14-019,2025-06-08 06:38:00,0,0,1,70.7,70.7,optimized,yard_manager,overflow_capacity
LOC000089,VEH000089,YARD_HOU_01,FA,FA11,FA11-017,2025-07-01 02:55:00,0,0,1,77.1,77.1,priority_based,system,special_equipment
LOC000090,VEH000090,YARD_AUS_01,A,A06,A06-003,2025-07-27 02:20:00,0,0,1,62.6,62.6,optimized,yard_manager,special_equipment
LOC000091,VEH000091,YARD_OKC_01,FA,FA02,FA02-018,2025-04-25 04:24:00,0,0,1,80.7,80.7,optimized,system,overflow_capacity
LOC000092,VEH000092,YARD_HOU_01,A,A11,A11-018,2025-05-06 02:03:00,0,0,1,93.4,93.4,optimized,yard_manager,standard_storage
LOC000093,VEH000093,YARD_OKC_01,OF,OF11,OF11-020,2025-04-23 08:19:00,0,0,1,74.0,74.0,priority_based,yard_manager,long_term_hold
LOC000094,VEH000094,YARD_HOU_01,FA,FA09,FA09-011,2025-04-25 06:35:00,0,0,1,82.9,82.9,priority_based,yard_manager,long_term_hold
LOC000095,VEH000095,YARD_DAL_01,HV,HV10,HV10-011,2025-06-03 08:10:00,0,0,1,68.7,68.7,random,yard_manager,overflow_capacity
LOC000096,VEH000096,YARD_OKC_01,B,B19,B19-022,2025-05-27 03:31:00,0,0,1,78.1,78.1,optimized,yard_manager,special_equipment
LOC000097,VEH000097,YARD_AUS_01,FA,FA06,FA06-023,2025-04-28 07:55:00,0,0,1,89.3,89.3,optimized,system,special_equipment
LOC000098,VEH000098,YARD_DAL_01,B,B09,B09-013,2025-04-24 03:21:00,0,0,1,82.5,82.5,priority_based,simulation,special_equipment
LOC000099,VEH000099,YARD_DAL_01,LTH,LTH13,LTH13-008,2025-05-10 08:38:00,0,0,1,74.7,74.7,priority_based,yard_manager,special_equipment
LOC000100,VEH000100,YARD_AUS_01,B,B17,B17-023,2025-06-22 06:21:00,0,0,1,78.9,78.9,first_available,system,overflow_capacity
LOC000101,VEH000101,YARD_DAL_01,B,B01,B01-003,2025-06-14 04:21:00,0,0,1,93.4,93.4,optimized,system,special_equipment
LOC000102,VEH000102,YARD_AUS_01,NR,NR13,NR13-014,2025-06-06 06:17:00,0,0,1,85.9,85.9,first_available,system,long_term_hold
LOC000103,VEH000103,YARD_AUS_01,A,A16,A16-012,2025-07-22 04:45:00,0,0,1,90.0,90.0,priority_based,yard_manager,special_equipment
LOC000104,VEH000104,YARD_OKC_01,LTH,LTH10,LTH10-013,2025-07-13 05:29:00,0,0,1,89.5,89.5,first_available,yard_manager,long_term_hold
LOC000105,VEH000105,YARD_DAL_01,LTH,LTH03,LTH03-013,2025-06-29 05:25:00,0,0,1,89.1,89.1,random,yard_manager,long_term_hold
LOC000106,VEH000106,YARD_HOU_01,A,A10,A10-001,2025-06-29 06:10:00,0,0,1,84.8,84.8,first_available,system,high_priority
LOC000107,VEH000107,YARD_HOU_01,A,A08,A08-009,2025-03-09 06:15:00,0,0,1,64.7,64.7,optimized,system,overflow_capacity
LOC000108,VEH000108,YARD_OKC_01,FA,FA11,FA11-024,2025-07-04 06:16:00,0,0,1,89.3,89.3,priority_based,yard_manager,overflow_capacity
LOC000109,VEH000109,YARD_DAL_01,A,A11,A11-025,2025-07-01 04:56:00,0,0,1,59.5,59.5,first_available,system,overflow_capacity
LOC000110,VEH000110,YARD_AUS_01,B,B11,B11-012,2025-06-07 01:37:00,0,0,1,77.0,77.0,optimized,system,high_priority
LOC000111,VEH000111,YARD_AUS_01,A,A08,A08-009,2025-04-14 05:12:00,0,0,1,86.9,86.9,optimized,yard_manager,high_priority
LOC000112,VEH000112,YARD_AUS_01,LTH,LTH02,LTH02-010,2025-05-03 01:42:00,0,0,1,85.2,85.2,first_available,system,high_priority
LOC000113,VEH000113,YARD_DAL_01,NR,NR02,NR02-023,2025-05-31 02:34:00,0,0,1,69.1,69.1,priority_based,yard_manager,long_term_hold
LOC000114,VEH000114,YARD_OKC_01,A,A06,A06-003,2025-02-28 05:56:00,0,0,1,74.7,74.7,first_available,yard_manager,high_priority
LOC000115,VEH000115,YARD_HOU_01,A,A12,A12-007,2025-03-10 02:52:00,0,0,1,68.9,68.9,random,system,special_equipment
LOC000116,VEH000116,YARD_DAL_01,B,B18,B18-005,2025-07-28 05:24:00,0,0,1,64.7,64.7,optimized,simulation,high_priority
LOC000117,VEH000117,YARD_DAL_01,A,A13,A13-024,2025-03-05 08:59:00,0,0,1,81.9,81.9,optimized,simulation,high_priority
LOC000118,VEH000118,YARD_AUS_01,NR,NR08,NR08-020,2025-05-02 06:01:00,0,0,1,62.6,62.6,first_available,yard_manager,high_priority
LOC000119,VEH000119,YARD_AUS_01,B,B10,B10-023,2025-01-28 08:55:00,0,0,1,67.0,67.0,priority_based,system,standard_storage
LOC000120,VEH000120,YARD_OKC_01,B,B15,B15-010,2025-03-22 03:47:00,0,0,1,87.2,87.2,first_available,yard_manager,overflow_capacity
LOC000121,VEH000121,YARD_OKC_01,B,B03,B03-002,2025-01-29 03:32:00,0,0,1,68.0,68.0,optimized,yard_manager,standard_storage
LOC000122,VEH000122,YARD_DAL_01,FA,FA18,FA18-017,2025-01-30 03:54:00,0,0,1,87.9,87.9,priority_based,system,long_term_hold
LOC000123,VEH000123,YARD_DAL_01,OF,OF17,OF17-017,2025-01-22 02:22:00,0,0,1,94.9,94.9,random,yard_manager,special_equipment
LOC000124,VEH000124,YARD_AUS_01,A,A11,A11-018,2025-07-10 02:16:00,0,0,1,73.4,73.4,priority_based,simulation,overflow_capacity
LOC000125,VEH000125,YARD_DAL_01,A,A20,A20-010,2025-04-25 02:14:00,0,0,1,72.7,72.7,first_available,system,long_term_hold
LOC000126,VEH000126,YARD_HOU_01,B,B18,B18-005,2025-03-01 08:04:00,0,0,1,74.0,74.0,first_available,system,special_equipment
LOC000127,VEH000127,YARD_DAL_01,LTH,LTH03,LTH03-013,2025-01-23 03:24:00,0,0,1,98.6,98.6,first_available,system,long_term_hold
LOC000128,VEH000128,YARD_HOU_01,B,B09,B09-006,2025-03-27 06:53:00,0,0,1,61.8,61.8,first_available,simulation,special_equipment
LOC000129,VEH000129,YARD_OKC_01,B,B12,B12-008,2025-02-11 07:28:00,0,0,1,76.7,76.7,random,system,high_priority
LOC000130,VEH000130,YARD_HOU_01,FA,FA03,FA03-007,2025-04-04 04:33:00,0,0,1,77.9,77.9,optimized,system,special_equipment
LOC000131,VEH000131,YARD_DAL_01,A,A11,A11-004,2025-03-13 02:57:00,0,0,1,76.3,76.3,first_available,system,long_term_hold
LOC000132,VEH000132,YARD_OKC_01,NR,NR19,NR19-025,2025-05-24 04:46:00,0,0,1,82.8,82.8,random,yard_manager,overflow_capacity
LOC000133,VEH000133,YARD_OKC_01,FA,FA03,FA03-014,2025-03-22 05:07:00,0,0,1,62.2,62.2,optimized,yard_manager,high_priority
LOC000134,VEH000134,YARD_AUS_01,B,B04,B04-005,2025-03-07 07:10:00,0,0,1,81.2,81.2,priority_based,system,special_equipment
LOC000135,VEH000135,YARD_HOU_01,FA,FA09,FA09-004,2025-02-16 01:48:00,0,0,1,87.7,87.7,priority_based,yard_manager,long_term_hold
LOC000136,VEH000136,YARD_HOU_01,A,A19,A19-007,2025-03-06 01:31:00,0,0,1,85.3,85.3,priority_based,system,overflow_capacity
LOC000137,VEH000137,YARD_AUS_01,NR,NR11,NR11-008,2025-04-04 06:39:00,0,0,1,69.1,69.1,priority_based,yard_manager,special_equipment
LOC000138,VEH000138,YARD_AUS_01,B,B02,B02-006,2025-03-17 07:30:00,0,0,1,79.9,79.9,priority_based,system,special_equipment
LOC000139,VEH000139,YARD_AUS_01,A,A18,A18-018,2025-01-16 06:18:00,0,0,1,77.6,77.6,priority_based,system,special_equipment
LOC000140,VEH000140,YARD_HOU_01,LTH,LTH09,LTH09-003,2025-04-29 07:40:00,0,0,1,71.4,71.4,random,yard_manager,high_priority
LOC000141,VEH000141,YARD_DAL_01,FA,FA11,FA11-024,2025-02-02 01:26:00,0,0,1,91.8,91.8,priority_based,yard_manager,standard_storage
LOC000142,VEH000142,YARD_DAL_01,FA,FA13,FA13-002,2025-04-10 01:37:00,0,0,1,82.1,82.1,optimized,system,overflow_capacity
LOC000143,VEH000143,YARD_OKC_01,B,B14,B14-014,2025-07-03 02:20:00,0,0,1,86.2,86.2,optimized,yard_manager,special_equipment
LOC000144,VEH000144,YARD_OKC_01,NR,NR07,NR07-003,2025-02-17 04:54:00,0,0,1,76.2,76.2,first_available,system,high_priority
LOC000145,VEH000145,YARD_HOU_01,OF,OF16,OF16-021,2025-07-15 04:12:00,0,0,1,73.6,73.6,first_available,system,high_priority
LOC000146,VEH000146,YARD_OKC_01,B,B20,B20-004,2025-05-20 02:08:00,0,0,1,73.5,73.5,first_available,yard_manager,special_equipment
LOC000147,VEH000147,YARD_OKC_01,NR,NR11,NR11-022,2025-04-29 05:21:00,0,0,1,70.1,70.1,random,system,high_priority
LOC000148,VEH000148,YARD_DAL_01,FA,FA15,FA15-008,2025-05-27 04:19:00,0,0,1,97.7,97.7,priority_based,system,high_priority
LOC000149,VEH000149,YARD_DAL_01,A,A10,A10-022,2025-05-03 07:13:00,0,0,1,78.8,78.8,first_available,system,standard_storage
LOC000150,VEH000150,YARD_OKC_01,A,A14,A14-006,2025-05-22 06:42:00,0,0,1,73.3,73.3,optimized,system,high_priority
LOC000151,VEH000151,YARD_AUS_01,A,A16,A16-012,2025-07-01 05:55:00,0,0,1,67.9,67.9,first_available,yard_manager,special_equipment
LOC000152,VEH000152,YARD_AUS_01,FA,FA18,FA18-010,2025-07-14 07:20:00,0,0,1,89.8,89.8,priority_based,system,high_priority
LOC000153,VEH000153,YARD_OKC_01,NR,NR20,NR20-021,2025-06-24 05:49:00,0,0,1,65.5,65.5,priority_based,simulation,standard_storage
LOC000154,VEH000154,YARD_DAL_01,A,A19,A19-021,2025-05-09 08:47:00,0,0,1,79.9,79.9,first_available,system,overflow_capacity
LOC000155,VEH000155,YARD_OKC_01,OF,OF03,OF03-024,2025-04-21 05:04:00,0,0,1,100,100,first_available,yard_manager,long_term_hold
LOC000156,VEH000156,YARD_OKC_01,LTH,LTH09,LTH09-017,2025-02-05 03:21:00,0,0,1,73.7,73.7,priority_based,yard_manager,overflow_capacity
LOC000157,VEH000157,YARD_DAL_01,LTH,LTH04,LTH04-016,2025-02-21 01:26:00,0,0,1,94.2,94.2,random,yard_manager,high_priority
LOC000158,VEH000158,YARD_DAL_01,A,A08,A08-009,2025-05-08 03:51:00,0,0,1,61.7,61.7,random,system,standard_storage
LOC000159,VEH000159,YARD_OKC_01,NR,NR03,NR03-005,2025-07-18 03:56:00,0,0,1,69.0,69.0,priority_based,system,standard_storage
LOC000160,VEH000160,YARD_AUS_01,A,A03,A03-008,2025-07-21 07:48:00,0,0,1,58.0,58.0,priority_based,system,special_equipment
LOC000161,VEH000161,YARD_AUS_01,B,B01,B01-003,2025-05-20 03:57:00,0,0,1,77.7,77.7,priority_based,system,overflow_capacity
LOC000162,VEH000162,YARD_DAL_01,A,A08,A08-002,2025-05-16 06:44:00,0,0,1,78.4,78.4,priority_based,yard_manager,long_term_hold
LOC000163,VEH000163,YARD_AUS_01,B,B17,B17-009,2025-06-15 03:34:00,0,0,1,69.0,69.0,priority_based,yard_manager,standard_storage
LOC000164,VEH000164,YARD_HOU_01,A,A01,A01-009,2025-07-28 04:32:00,0,0,1,94.5,94.5,optimized,yard_manager,special_equipment
LOC000165,VEH000165,YARD_HOU_01,NR,NR19,NR19-018,2025-07-22 03:48:00,0,0,1,77.0,77.0,first_available,system,high_priority
LOC000166,VEH000166,YARD_DAL_01,A,A20,A20-017,2025-06-11 07:11:00,0,0,1,75.9,75.9,random,yard_manager,standard_storage
LOC000167,VEH000167,YARD_HOU_01,B,B16,B16-020,2025-06-26 08:19:00,0,0,1,65.1,65.1,optimized,simulation,standard_storage
LOC000168,VEH000168,YARD_OKC_01,LTH,LTH04,LTH04-023,2025-02-09 07:46:00,0,0,1,82.7,82.7,first_available,yard_manager,standard_storage
LOC000169,VEH000169,YARD_HOU_01,B,B09,B09-020,2025-03-09 05:45:00,0,0,1,73.1,73.1,priority_based,system,special_equipment
LOC000170,VEH000170,YARD_AUS_01,A,A04,A04-004,2025-04-01 04:44:00,0,0,1,82.8,82.8,first_available,system,high_priority
LOC000171,VEH000171,YARD_OKC_01,A,A10,A10-022,2025-03-22 03:08:00,0,0,1,83.4,83.4,priority_based,system,long_term_hold
LOC000172,VEH000172,YARD_DAL_01,A,A09,A09-019,2025-07-07 08:27:00,0,0,1,64.0,64.0,priority_based,system,high_priority
LOC000173,VEH000173,YARD_OKC_01,A,A10,A10-001,2025-02-24 04:16:00,0,0,1,66.9,66.9,first_available,yard_manager,special_equipment
LOC000174,VEH000174,YARD_HOU_01,NR,NR06,NR06-014,2025-07-12 04:18:00,0,0,1,79.2,79.2,random,simulation,overflow_capacity
LOC000175,VEH000175,YARD_OKC_01,B,B13,B13-025,2025-04-28 03:33:00,0,0,1,82.7,82.7,optimized,system,standard_storage
LOC000176,VEH000176,YARD_HOU_01,B,B10,B10-009,2025-03-01 04:56:00,0,0,1,98.5,98.5,priority_based,system,overflow_capacity
LOC000177,VEH000177,YARD_OKC_01,FA,FA14,FA14-012,2025-05-27 01:44:00,0,0,1,89.4,89.4,random,yard_manager,overflow_capacity
LOC000178,VEH000178,YARD_OKC_01,OF,OF03,OF03-024,2025-06-07 02:08:00,0,0,1,72.7,72.7,first_available,system,special_equipment
LOC000179,VEH000179,YARD_OKC_01,FA,FA09,FA09-018,2025-05-15 01:40:00,0,0,1,92.9,92.9,priority_based,yard_manager,special_equipment
LOC000180,VEH000180,YARD_AUS_01,FA,FA10,FA10-007,2025-03-04 03:06:00,0,0,1,88.2,88.2,random,yard_manager,overflow_capacity
LOC000181,VEH000181,YARD_HOU_01,A,A06,A06-024,2025-05-14 05:09:00,0,0,1,86.0,86.0,first_available,system,high_priority
LOC000182,VEH000182,YARD_DAL_01,A,A03,A03-015,2025-07-19 04:55:00,0,0,1,84.4,84.4,first_available,system,standard_storage
LOC000183,VEH000183,YARD_HOU_01,FA,FA04,FA04-024,2025-06-30 08:41:00,0,0,1,92.4,92.4,priority_based,system,standard_storage
LOC000184,VEH000184,YARD_AUS_01,A,A08,A08-023,2025-02-16 01:56:00,0,0,1,70.2,70.2,first_available,yard_manager,long_term_hold
