retrieval_id,vehicle_id,yard_id,request_time,retrieval_start_time,retrieval_end_time,handoff_time,requested_by,pickup_type,retrieval_duration_minutes,wait_time_minutes,start_delay_minutes,travel_distance_meters,blocked_vehicle_count,equipment_used,staff_id,retrieval_success_flag,delay_flag,delay_reason,weather_condition,time_of_day,day_of_week
RET000030,VEH004457,YARD_DAL_01,2025-09-02 12:42:00,2025-09-02 12:53:00,2025-09-02 13:28:44,2025-09-02 13:43:44,carrier,carrier_pickup,35.7,61.7,11,1173,3,loader,STF072,1,1,weather,storm,morning,Tuesday
RET000031,VEH006823,YARD_DAL_01,2025-07-18 14:25:00,2025-07-18 14:35:00,2025-07-18 15:04:09,2025-07-18 15:15:09,carrier,customer_pickup,29.2,50.2,10,1369,3,loader,STF002,1,1,weather,extreme_heat,midday,Friday
RET000032,VEH006251,YARD_OKC_01,2025-06-05 12:39:00,2025-06-05 12:57:00,2025-06-05 13:26:47,2025-06-05 13:39:47,internal_ops,customer_pickup,29.8,60.8,18,777,0,none,STF016,1,1,vehicle_not_found,clear,morning,Thursday
RET000033,VEH003740,YARD_AUS_01,2025-06-11 14:48:00,2025-06-11 15:00:00,2025-06-11 15:36:45,2025-06-11 15:45:45,buyer,internal_move,36.8,57.8,12,710,2,none,STF030,1,1,equipment_unavailable,clear,afternoon,Wednesday
RET000034,VEH006328,YARD_AUS_01,2025-06-28 10:31:00,2025-06-28 10:45:00,2025-06-28 11:24:48,2025-06-28 11:28:48,insurance_partner,customer_pickup,39.8,57.8,14,355,5,none,STF036,1,1,weather,clear,morning,Saturday
RET000035,VEH009284,YARD_DAL_01,2025-05-24 10:40:00,2025-05-24 11:12:00,2025-05-24 11:54:02,2025-05-24 12:07:02,carrier,carrier_pickup,42.0,87.0,32,380,6,none,STF071,1,1,blocked_access,clear,morning,Saturday
RET000036,VEH006673,YARD_OKC_01,2025-04-15 16:06:00,2025-04-15 16:16:00,2025-04-15 16:45:32,2025-04-15 17:02:32,insurance_partner,carrier_pickup,29.5,56.5,10,256,2,none,STF022,1,1,congestion,extreme_heat,afternoon,Tuesday
RET000037,VEH000695,YARD_HOU_01,2025-02-19 10:49:00,2025-02-19 10:57:00,2025-02-19 11:20:33,2025-02-19 11:29:33,buyer,auction_staging,23.6,40.6,8,449,0,none,STF043,1,0,none,snow,midday,Wednesday
RET000038,VEH003858,YARD_OKC_01,2025-08-19 13:24:00,2025-08-19 13:40:00,2025-08-19 14:02:21,2025-08-19 14:18:21,buyer,internal_move,22.4,54.4,16,548,0,none,STF038,1,1,congestion,clear,morning,Tuesday
RET000039,VEH004494,YARD_AUS_01,2025-06-07 11:30:00,2025-06-07 11:45:00,2025-06-07 12:13:40,2025-06-07 12:19:40,buyer,customer_pickup,28.7,49.7,15,610,1,none,STF066,1,1,vehicle_not_found,clear,afternoon,Saturday
RET000040,VEH005143,YARD_AUS_01,2025-07-15 11:38:00,2025-07-15 11:56:00,2025-07-15 12:42:11,2025-07-15 12:58:11,internal_ops,customer_pickup,46.2,80.2,18,910,6,none,STF016,1,1,blocked_access,rain,afternoon,Tuesday
RET000041,VEH006731,YARD_AUS_01,2025-01-18 11:10:00,2025-01-18 11:18:00,2025-01-18 11:45:53,2025-01-18 12:02:53,carrier,customer_pickup,27.9,52.9,8,828,0,none,STF018,1,1,congestion,clear,evening,Saturday
RET000042,VEH003815,YARD_OKC_01,2025-05-09 08:20:00,2025-05-09 08:34:00,2025-05-09 09:14:39,2025-05-09 09:20:39,carrier,carrier_pickup,40.7,60.7,14,840,4,none,STF077,1,1,blocked_access,clear,morning,Friday
RET000043,VEH004184,YARD_DAL_01,2025-06-16 09:05:00,2025-06-16 09:34:00,2025-06-16 10:18:13,2025-06-16 10:36:13,insurance_partner,carrier_pickup,44.2,91.2,29,889,4,none,STF020,1,1,weather,clear,afternoon,Monday
RET000044,VEH005617,YARD_HOU_01,2025-08-07 14:39:00,2025-08-07 14:56:00,2025-08-07 15:11:02,2025-08-07 15:24:02,insurance_partner,customer_pickup,15.0,45.0,17,449,0,none,STF067,1,1,equipment_unavailable,clear,afternoon,Thursday
RET000045,VEH004329,YARD_DAL_01,2025-07-05 14:14:00,2025-07-05 14:21:00,2025-07-05 14:51:57,2025-07-05 15:05:57,buyer,internal_move,31.0,52.0,7,202,0,none,STF051,1,1,blocked_access,rain,afternoon,Saturday
RET000046,VEH009220,YARD_OKC_01,2025-04-08 14:49:00,2025-04-08 14:59:00,2025-04-08 15:47:10,2025-04-08 15:51:10,buyer,customer_pickup,48.2,62.2,10,299,4,tow_truck,STF076,1,1,blocked_access,clear,morning,Tuesday
RET000047,VEH000933,YARD_OKC_01,2025-05-20 14:54:00,2025-05-20 15:07:00,2025-05-20 15:42:57,2025-05-20 15:52:57,buyer,carrier_pickup,36.0,59.0,13,806,4,none,STF016,1,1,equipment_unavailable,rain,midday,Tuesday
RET000048,VEH000380,YARD_OKC_01,2025-03-02 11:04:00,2025-03-02 11:17:00,2025-03-02 11:50:26,2025-03-02 12:07:26,insurance_partner,customer_pickup,33.4,63.4,13,815,2,jump_starter,STF033,1,1,blocked_access,clear,afternoon,Sunday
RET000049,VEH008485,YARD_HOU_01,2025-02-21 16:02:00,2025-02-21 16:34:00,2025-02-21 17:14:04,2025-02-21 17:27:04,carrier,carrier_pickup,40.1,85.1,32,636,5,none,STF029,1,1,congestion,clear,afternoon,Friday
RET000050,VEH008129,YARD_OKC_01,2025-02-16 08:49:00,2025-02-16 09:10:00,2025-02-16 09:27:27,2025-02-16 09:34:27,insurance_partner,carrier_pickup,17.5,45.5,21,143,1,none,STF010,1,1,weather,clear,afternoon,Sunday
RET000051,VEH004334,YARD_HOU_01,2025-02-23 11:12:00,2025-02-23 11:27:00,2025-02-23 12:13:12,2025-02-23 12:20:12,buyer,carrier_pickup,46.2,68.2,15,484,5,none,STF015,1,1,blocked_access,clear,afternoon,Sunday
RET000052,VEH008051,YARD_DAL_01,2025-03-13 16:12:00,2025-03-13 16:27:00,2025-03-13 17:07:32,2025-03-13 17:22:32,insurance_partner,customer_pickup,40.5,70.5,15,556,3,none,STF021,1,1,blocked_access,clear,afternoon,Thursday
RET000053,VEH000168,YARD_OKC_01,2025-04-08 08:55:00,2025-04-08 09:20:00,2025-04-08 09:30:55,2025-04-08 09:44:55,buyer,customer_pickup,10.9,49.9,25,628,0,jump_starter,STF054,1,1,vehicle_not_found,clear,afternoon,Tuesday
RET000054,VEH009755,YARD_DAL_01,2025-05-13 16:22:00,2025-05-13 16:58:00,2025-05-13 17:27:36,2025-05-13 17:43:36,carrier,internal_move,29.6,81.6,36,801,2,none,STF020,1,1,congestion,rain,afternoon,Tuesday
RET000055,VEH001546,YARD_HOU_01,2025-05-16 13:55:00,2025-05-16 14:23:00,2025-05-16 15:05:52,2025-05-16 15:23:52,buyer,carrier_pickup,42.9,88.9,28,493,6,none,STF048,1,1,weather,clear,afternoon,Friday
RET000056,VEH007366,YARD_DAL_01,2025-04-28 15:26:00,2025-04-28 15:33:00,2025-04-28 16:12:38,2025-04-28 16:24:38,carrier,carrier_pickup,39.6,58.6,7,904,3,none,STF079,1,1,vehicle_not_found,storm,afternoon,Monday
RET000057,VEH001654,YARD_OKC_01,2025-04-06 11:58:00,2025-04-06 12:13:00,2025-04-06 12:52:04,2025-04-06 13:05:04,internal_ops,carrier_pickup,39.1,67.1,15,641,3,none,STF019,1,1,blocked_access,clear,midday,Sunday
RET000058,VEH000327,YARD_DAL_01,2025-04-20 12:03:00,2025-04-20 12:13:00,2025-04-20 13:02:12,2025-04-20 13:07:12,insurance_partner,carrier_pickup,49.2,64.2,10,284,3,none,STF053,1,1,blocked_access,rain,morning,Sunday
RET000059,VEH002913,YARD_HOU_01,2025-06-27 09:06:00,2025-06-27 09:13:00,2025-06-27 09:38:11,2025-06-27 09:46:11,carrier,carrier_pickup,25.2,40.2,7,874,0,none,STF046,1,1,equipment_unavailable,clear,midday,Friday
RET000060,VEH009988,YARD_HOU_01,2025-07-31 13:36:00,2025-07-31 13:54:00,2025-07-31 14:38:30,2025-07-31 14:50:30,buyer,carrier_pickup,44.5,74.5,18,831,3,none,STF047,1,1,equipment_unavailable,clear,morning,Thursday
RET000061,VEH006963,YARD_HOU_01,2025-07-30 12:54:00,2025-07-30 13:15:00,2025-07-30 13:19:32,2025-07-30 13:35:32,carrier,carrier_pickup,4.5,41.5,21,387,0,none,STF016,1,0,none,clear,afternoon,Wednesday
RET000062,VEH007575,YARD_OKC_01,2025-05-24 08:19:00,2025-05-24 08:40:00,2025-05-24 09:37:53,2025-05-24 09:42:53,carrier,customer_pickup,57.9,83.9,21,944,6,none,STF004,1,1,blocked_access,clear,morning,Saturday
RET000063,VEH008113,YARD_HOU_01,2025-09-09 08:34:00,2025-09-09 08:38:00,2025-09-09 08:57:03,2025-09-09 09:06:03,carrier,carrier_pickup,19.1,32.1,4,502,0,none,STF003,1,0,none,clear,afternoon,Tuesday
RET000064,VEH008389,YARD_HOU_01,2025-02-08 08:56:00,2025-02-08 09:22:00,2025-02-08 10:06:09,2025-02-08 10:15:09,buyer,internal_move,44.2,79.2,26,394,3,none,STF027,1,1,blocked_access,clear,midday,Saturday
RET000065,VEH003658,YARD_HOU_01,2025-04-15 09:31:00,2025-04-15 10:01:00,2025-04-15 10:44:25,2025-04-15 11:00:25,carrier,customer_pickup,43.4,89.4,30,720,4,none,STF060,0,1,blocked_access,clear,midday,Tuesday
RET000066,VEH000243,YARD_HOU_01,2025-04-03 10:34:00,2025-04-03 10:48:00,2025-04-03 11:04:57,2025-04-03 11:18:57,carrier,customer_pickup,17.0,45.0,14,239,0,none,STF042,1,0,none,clear,morning,Thursday
RET000067,VEH000133,YARD_OKC_01,2025-05-17 15:11:00,2025-05-17 15:16:00,2025-05-17 15:50:43,2025-05-17 16:01:43,carrier,internal_move,34.7,50.7,5,317,2,none,STF029,1,1,title_issue,clear,afternoon,Saturday
RET000068,VEH005710,YARD_DAL_01,2025-08-11 16:14:00,2025-08-11 16:27:00,2025-08-11 17:12:24,2025-08-11 17:22:24,carrier,carrier_pickup,45.4,68.4,13,806,2,none,STF052,1,1,equipment_unavailable,clear,afternoon,Monday
RET000069,VEH007786,YARD_OKC_01,2025-06-07 16:10:00,2025-06-07 16:24:00,2025-06-07 17:11:48,2025-06-07 17:18:48,internal_ops,carrier_pickup,47.8,68.8,14,345,4,none,STF035,1,1,blocked_access,clear,afternoon,Saturday
RET000070,VEH008247,YARD_DAL_01,2025-06-01 16:40:00,2025-06-01 17:04:00,2025-06-01 17:46:17,2025-06-01 17:56:17,buyer,carrier_pickup,42.3,76.3,24,1868,3,forklift,STF044,1,1,congestion,clear,midday,Sunday
RET000071,VEH004004,YARD_HOU_01,2025-06-23 16:35:00,2025-06-23 16:35:00,2025-06-23 16:54:42,2025-06-23 17:07:42,insurance_partner,carrier_pickup,19.7,32.7,0,611,1,none,STF043,1,0,none,clear,afternoon,Monday
RET000072,VEH000583,YARD_OKC_01,2025-05-10 11:49:00,2025-05-10 12:09:00,2025-05-10 12:41:11,2025-05-10 12:50:11,buyer,carrier_pickup,32.2,61.2,20,785,2,none,STF069,1,1,weather,clear,afternoon,Saturday
RET000073,VEH009092,YARD_AUS_01,2025-03-30 16:35:00,2025-03-30 17:00:00,2025-03-30 17:37:40,2025-03-30 17:44:40,carrier,carrier_pickup,37.7,69.7,25,922,3,none,STF015,1,1,blocked_access,clear,afternoon,Sunday
RET000074,VEH003324,YARD_AUS_01,2025-03-09 12:10:00,2025-03-09 12:52:00,2025-03-09 13:23:57,2025-03-09 13:39:57,buyer,customer_pickup,32.0,90.0,42,1468,5,forklift,STF022,1,1,congestion,clear,morning,Sunday
RET000075,VEH004061,YARD_DAL_01,2025-06-22 10:02:00,2025-06-22 10:21:00,2025-06-22 11:03:25,2025-06-22 11:11:25,buyer,customer_pickup,42.4,69.4,19,723,4,forklift,STF043,1,1,vehicle_not_found,clear,afternoon,Sunday
RET000076,VEH005148,YARD_DAL_01,2025-07-05 15:22:00,2025-07-05 15:41:00,2025-07-05 16:39:04,2025-07-05 16:43:04,carrier,customer_pickup,58.1,81.1,19,1313,5,loader,STF077,1,1,blocked_access,clear,afternoon,Saturday
RET000077,VEH000827,YARD_DAL_01,2025-05-30 12:56:00,2025-05-30 13:19:00,2025-05-30 13:40:33,2025-05-30 13:44:33,carrier,customer_pickup,21.6,48.6,23,310,1,none,STF065,1,1,weather,rain,morning,Friday
RET000078,VEH005277,YARD_OKC_01,2025-05-22 12:45:00,2025-05-22 13:05:00,2025-05-22 13:44:08,2025-05-22 14:01:08,internal_ops,auction_staging,39.1,76.1,20,750,6,none,STF033,1,1,weather,clear,afternoon,Thursday
RET000079,VEH008056,YARD_OKC_01,2025-09-11 14:09:00,2025-09-11 14:20:00,2025-09-11 15:00:42,2025-09-11 15:11:42,carrier,carrier_pickup,40.7,62.7,11,780,0,none,STF009,1,1,blocked_access,clear,midday,Thursday
RET000080,VEH005243,YARD_DAL_01,2025-10-12 15:17:00,2025-10-12 15:25:00,2025-10-12 16:08:44,2025-10-12 16:22:44,carrier,carrier_pickup,43.7,65.7,8,664,6,none,STF027,1,1,weather,clear,afternoon,Sunday
RET000081,VEH009813,YARD_AUS_01,2025-07-22 12:46:00,2025-07-22 13:08:00,2025-07-22 13:31:17,2025-07-22 13:47:17,carrier,carrier_pickup,23.3,61.3,22,369,3,none,STF048,1,1,equipment_unavailable,clear,afternoon,Tuesday
RET000082,VEH005893,YARD_AUS_01,2025-07-30 11:21:00,2025-07-30 11:49:00,2025-07-30 12:41:02,2025-07-30 12:54:02,carrier,customer_pickup,52.0,93.0,28,610,5,none,STF031,1,1,blocked_access,clear,midday,Wednesday
RET000083,VEH009433,YARD_OKC_01,2025-04-11 16:52:00,2025-04-11 17:12:00,2025-04-11 17:43:28,2025-04-11 18:00:28,internal_ops,carrier_pickup,31.5,68.5,20,668,2,none,STF011,1,1,blocked_access,clear,morning,Friday
RET000084,VEH003334,YARD_OKC_01,2025-08-07 08:50:00,2025-08-07 09:04:00,2025-08-07 09:55:19,2025-08-07 10:10:19,insurance_partner,carrier_pickup,51.3,80.3,14,1786,3,forklift,STF066,1,1,congestion,clear,morning,Thursday
RET000085,VEH000394,YARD_HOU_01,2025-08-07 08:43:00,2025-08-07 08:58:00,2025-08-07 09:18:46,2025-08-07 09:29:46,carrier,customer_pickup,20.8,46.8,15,339,3,none,STF037,1,1,weather,extreme_heat,midday,Thursday
RET000086,VEH008748,YARD_DAL_01,2025-04-10 10:39:00,2025-04-10 10:47:00,2025-04-10 11:07:33,2025-04-10 11:11:33,insurance_partner,carrier_pickup,20.6,32.6,8,620,0,forklift,STF014,1,0,none,rain,afternoon,Thursday
RET000087,VEH007414,YARD_DAL_01,2025-08-13 09:36:00,2025-08-13 09:49:00,2025-08-13 10:26:31,2025-08-13 10:36:31,buyer,carrier_pickup,37.5,60.5,13,724,2,none,STF058,1,1,congestion,clear,morning,Wednesday
RET000088,VEH009041,YARD_DAL_01,2025-06-07 16:00:00,2025-06-07 16:19:00,2025-06-07 16:47:47,2025-06-07 16:56:47,insurance_partner,carrier_pickup,28.8,56.8,19,381,2,none,STF046,1,1,congestion,rain,morning,Saturday
RET000089,VEH006416,YARD_AUS_01,2025-07-29 15:52:00,2025-07-29 16:09:00,2025-07-29 16:59:09,2025-07-29 17:03:09,buyer,carrier_pickup,50.2,71.2,17,639,4,forklift,STF050,1,1,vehicle_not_found,rain,afternoon,Tuesday
RET000090,VEH007893,YARD_DAL_01,2025-08-27 08:16:00,2025-08-27 08:30:00,2025-08-27 09:01:23,2025-08-27 09:17:23,buyer,internal_move,31.4,61.4,14,191,3,none,STF049,1,1,blocked_access,clear,afternoon,Wednesday
RET000091,VEH001403,YARD_AUS_01,2025-04-13 14:25:00,2025-04-13 14:50:00,2025-04-13 15:38:21,2025-04-13 15:48:21,buyer,carrier_pickup,48.4,83.4,25,640,3,none,STF011,1,1,congestion,clear,afternoon,Sunday
RET000092,VEH009578,YARD_AUS_01,2025-06-23 13:27:00,2025-06-23 13:46:00,2025-06-23 14:05:48,2025-06-23 14:17:48,buyer,customer_pickup,19.8,50.8,19,334,0,none,STF001,1,1,equipment_unavailable,clear,evening,Monday
RET000093,VEH004910,YARD_DAL_01,2025-07-05 08:33:00,2025-07-05 08:55:00,2025-07-05 09:24:43,2025-07-05 09:30:43,carrier,carrier_pickup,29.7,57.7,22,390,0,none,STF015,1,1,congestion,clear,afternoon,Saturday
RET000094,VEH005614,YARD_DAL_01,2025-04-07 12:45:00,2025-04-07 12:58:00,2025-04-07 13:55:59,2025-04-07 14:08:59,internal_ops,customer_pickup,58.0,84.0,13,992,8,none,STF069,1,1,equipment_unavailable,clear,evening,Monday
RET000095,VEH004450,YARD_OKC_01,2025-04-04 11:34:00,2025-04-04 12:01:00,2025-04-04 12:38:24,2025-04-04 12:43:24,carrier,carrier_pickup,37.4,69.4,27,532,3,none,STF069,1,1,blocked_access,rain,afternoon,Friday
RET000096,VEH003171,YARD_OKC_01,2025-05-07 14:15:00,2025-05-07 14:23:00,2025-05-07 14:52:53,2025-05-07 15:03:53,internal_ops,carrier_pickup,29.9,48.9,8,570,0,none,STF051,1,1,title_issue,rain,afternoon,Wednesday
RET000097,VEH001665,YARD_HOU_01,2025-07-02 09:09:00,2025-07-02 09:26:00,2025-07-02 10:12:00,2025-07-02 10:26:00,internal_ops,customer_pickup,46.0,77.0,17,1766,4,forklift,STF020,1,1,congestion,clear,midday,Wednesday
RET000098,VEH007964,YARD_OKC_01,2025-07-19 11:10:00,2025-07-19 11:26:00,2025-07-19 11:49:10,2025-07-19 12:05:10,carrier,customer_pickup,23.2,55.2,16,416,4,none,STF069,1,1,congestion,clear,morning,Saturday
RET000099,VEH009709,YARD_HOU_01,2025-04-06 14:38:00,2025-04-06 14:38:00,2025-04-06 15:00:22,2025-04-06 15:15:22,internal_ops,carrier_pickup,22.4,37.4,0,163,0,none,STF066,1,0,none,clear,morning,Sunday
RET000100,VEH001866,YARD_HOU_01,2025-07-04 10:17:00,2025-07-04 10:41:00,2025-07-04 10:59:18,2025-07-04 11:12:18,carrier,carrier_pickup,18.3,55.3,24,640,0,none,STF028,1,1,congestion,clear,morning,Friday
RET000101,VEH001382,YARD_AUS_01,2025-02-05 13:13:00,2025-02-05 13:21:00,2025-02-05 13:48:00,2025-02-05 13:55:00,carrier,carrier_pickup,27.0,42.0,8,360,3,none,STF009,1,1,weather,rain,morning,Wednesday
RET000102,VEH007467,YARD_OKC_01,2025-06-19 08:43:00,2025-06-19 09:14:00,2025-06-19 09:58:46,2025-06-19 10:05:46,insurance_partner,internal_move,44.8,82.8,31,1608,3,forklift,STF056,1,1,title_issue,clear,afternoon,Thursday
RET000103,VEH006665,YARD_AUS_01,2025-08-17 10:18:00,2025-08-17 10:34:00,2025-08-17 11:40:05,2025-08-17 11:44:05,buyer,customer_pickup,66.1,86.1,16,1659,6,forklift,STF011,1,1,vehicle_not_found,clear,midday,Sunday
RET000104,VEH002858,YARD_HOU_01,2025-10-05 13:54:00,2025-10-05 14:08:00,2025-10-05 14:33:06,2025-10-05 14:49:06,carrier,carrier_pickup,25.1,55.1,14,492,1,none,STF060,1,1,equipment_unavailable,clear,morning,Sunday
RET000105,VEH005373,YARD_AUS_01,2025-08-05 08:30:00,2025-08-05 08:30:00,2025-08-05 09:08:54,2025-08-05 09:23:54,buyer,customer_pickup,38.9,53.9,0,559,3,none,STF031,1,1,congestion,clear,morning,Tuesday
RET000106,VEH003490,YARD_AUS_01,2025-04-12 13:43:00,2025-04-12 13:48:00,2025-04-12 14:22:30,2025-04-12 14:33:30,buyer,customer_pickup,34.5,50.5,5,1554,2,loader,STF066,1,1,congestion,storm,afternoon,Saturday
RET000107,VEH005107,YARD_HOU_01,2025-04-23 09:02:00,2025-04-23 09:28:00,2025-04-23 10:26:38,2025-04-23 10:37:38,carrier,customer_pickup,58.6,95.6,26,937,4,none,STF010,1,1,blocked_access,storm,midday,Wednesday
